id,date,source_type,author_or_institution,location,claim,evidence_status,limitation,url
B185-01,1901,bibliographic description of primary syllabus,Daniel J Wilson; Arthur O Lovejoy item 243,Syllabus The Philosophy of Buddhism / Washington University Association,Wilson records an Association-issued four-lecture Buddhism syllabus,high_value_secondary_bibliographic_description,Primary physical syllabus not yet recovered and item-level provenance not disclosed,https://www.scribd.com/document/940006529/Arthur-O-Lovejoy-an-Annotated-Bibliography-Daniel-J-Wilson-f05ba590096c5ea6f7f8956ea9f51956-Anna-s-Archive
B185-02,1901,bibliographic description of primary syllabus,Daniel J Wilson; Arthur O Lovejoy item 244,Syllabus Robert Louis Stevenson Moralist / Washington University Association,Wilson records an Association-issued syllabus and summarizes otherworldly ethics versus new temporally based ethics,high_value_secondary_bibliographic_description,Primary physical syllabus not yet recovered and item-level provenance not disclosed,https://www.scribd.com/document/940006529/Arthur-O-Lovejoy-an-Annotated-Bibliography-Daniel-J-Wilson-f05ba590096c5ea6f7f8956ea9f51956-Anna-s-Archive
B185-03,1903,contemporary university yearbook,Washington University Hatchet,Washington University Association p196,Association is listed with officers plus Lecture Committee Printing Committee Secondary Schools Committee and Entertainment Committee,confirmed_contemporary_institutional_structure,1903 structure cannot automatically be backdated unchanged to 1901,https://www.e-yearbook.com/yearbooks/Washington_University_Hatchet_Yearbook/1903/Page_212.html
B185-04,1904-1906,near-contemporary biographical directory,The Book of St Louisans,Arthur Oncken Lovejoy entry,Lovejoy is listed as secretary of the Washington University Association 1904-06,near_contemporary_person_specific,Does not prove any Association office held by Lovejoy in 1901,https://genealogy.smcox.com/common/images/e/ee/The_Book_of_St_Louisans.pdf
B185-05,1905,contemporary university yearbook,Washington University Hatchet,publication listing p228,The Bulletin of the Washington University Association lists Arthur O Lovejoy as Managing Editor,confirmed_contemporary_editorial_role,Does not prove Lovejoy edited or preserved the 1901 syllabi,https://www.e-yearbook.com/yearbooks/Washington_University_Hatchet_Yearbook/1905/Page_228.html
B185-06,1903 onward,serial-publication evidence,Washington University Association,Bulletin of the Washington University Association,Association had a traceable periodical publication family after the 1901 standalone syllabi,confirmed_post1901_publication_family,No current evidence that 1901 syllabi were later reprinted in the Bulletin or that the Bulletin directly descended from them,
B185-07,1982,research-method preface,Daniel J Wilson,Arthur O Lovejoy An Annotated Bibliography preface,Wilson says he sought an exhaustive Lovejoy bibliography searched manuscripts made a 1974-75 JHU catalogue and consulted Washington University Archives,confirmed_research_provenance_statement,Does not disclose item-level source for syllabus 243 or 244,https://www.scribd.com/document/940006529/Arthur-O-Lovejoy-an-Annotated-Bibliography-Daniel-J-Wilson-f05ba590096c5ea6f7f8956ea9f51956-Anna-s-Archive
B185-08,1982,bibliographic internal control,Daniel J Wilson,item174 review of P E More Shelburne Essays,Wilson explicitly labels this item Unable to obtain copy,confirmed_annotation_control,Contrast with item244 only supports an inference of sufficient access for annotation not certainty about physical copy custody,https://www.scribd.com/document/940006529/Arthur-O-Lovejoy-an-Annotated-Bibliography-Daniel-J-Wilson-f05ba590096c5ea6f7f8956ea9f51956-Anna-s-Archive
B185-09,2026,archival classification,Washington University University Archives,WUA/02 University Publications,Classification includes publications created and distributed by departments offices and some student organizations,confirmed_archive_classification,No Association-specific 1901 syllabus container is exposed by current public ASpace classification,https://aspace.wustl.edu/repositories/4/classification_terms/32
B185-10,1895-2016,archival collection,Washington University Alumni Association,WUA-02-wua00209 Publications Alumni Association,Publications Alumni Association is a distinct collection beginning 1895,confirmed_archive_collection,Must not be conflated with the Washington University Association that issued Lovejoy syllabi,https://aspace.wustl.edu/repositories/4/resources/107
B185-11,1880 and 1912-2023,archival collection,Washington University University Archives,WUA-02-wua00248 Publications Student Groups,Collection includes newsletters magazines journals and other student-group publications,confirmed_archive_collection,Current described dates do not expose 1901 Washington University Association syllabi,https://aspace.wustl.edu/repositories/4/resources/177
B185-12,1902-2011,archival collection,Washington University University Archives,WUA-02-wua00226 Hatchet Yearbook,Hatchet holdings provide institutional controls from 1903 onward and digital access for 1903-1928,confirmed_archive_collection,Yearbook is contextual evidence and not known custody for 1901 syllabi,https://aspace.wustl.edu/repositories/4/resources/144
B185-13,2026-08-25,targeted negative search,WashU ASpace and public web,Washington University Association 1901 syllabi,No item-level public catalog record or online primary scan was located for either exact 1901 Lovejoy syllabus,negative_control,Absence from public indexing does not imply loss; staff-side uncatalogued/minimally catalogued ephemera search remains highest priority,
