id,date_or_year,layer,repository_or_institution,reference_or_item,documented_fact,status,source,research_consequence
P130-01,1896-1898,state_mission_administration,Archives nationales,F/17/2984 B,"State scientific-mission dossier for Sylvain Lévi's India/Japan mission. Scholarly citations identify within it Lévi's mission request to the Minister of Public Instruction, probably April 1896.",archive_lead_exact_cote_scan_status_unresolved,https://books.openedition.org/editionscnrs/60554,"Creates a state-administrative route for authorization, itinerary, reports, funding and return chronology independent of Lévi's private papers."
P130-02,1898-02-05,state_mission_correspondence,Archives nationales,F/17/2984 B,"Lardinois cites a letter by Sylvain Lévi from Kathmandu, 5 Feb 1898, to Foreign Minister Gabriel Hanotaux, describing his study of pandit methods and direct contact with Indian religious life.",document_level_citation_exact_cote_scan_status_unresolved,https://books.openedition.org/editionscnrs/60564,"Provides a precisely dated mission document inside the administrative dossier; useful for reconstructing the mission's closing sequence toward Sep 1898."
P130-03,1897-1898,scholar_manuscript,Archives nationales,AB/XIX/3361,"Archival guide identifies manuscripts of Lévi's report on his India/Japan mission of 1897-1898 and manuscripts for his Nepal monograph (1898-1905).",archive_component_exact_cote_scan_status_unresolved,https://dokumen.pub/guides-to-the-sources-for-the-history-of-the-nations-3rd-series-teil-1-archives-reprint-2012nbsped-9783110970388-9783598214721.html,"Distinct manuscript-authorial witness to the mission, potentially preserving wording/chronology absent from the published report."
P130-04,1890-1912,scholar_manuscripts,Archives nationales,AB/XIX/3360-3366,"Guide describes Sylvain Lévi papers: 3360 doctoral thesis manuscript; 3361 mission report and Nepal; 3362-3363 works 1907-1912; 3364-3365 miscellaneous manuscripts/notes; 3366 printed articles/proofs.",collection_level_exact_range_scan_status_unresolved,https://dokumen.pub/guides-to-the-sources-for-the-history-of-the-nations-3rd-series-teil-1-archives-reprint-2012nbsped-9783110970388-9783598214721.html,"Do not collapse this scholarly-manuscript group into the looted private-correspondence archive or the Collège de France holdings."
P130-05,1897-1898,formal_EPHE_instruction,EPHE IVe Section,Annuaire 1899 Langue sanscrite,"Official report says Lévi was on mission and directed no conference during 1897-98; Finot maintained the teaching.",primary,https://www.persee.fr/doc/ephe_0000-0001_1899_num_1_1_2200,"State mission dossier can now be used to refine the administrative chronology behind this full-year teaching interruption."
P130-06,1898-1899,formal_EPHE_instruction,EPHE IVe Section,Annuaire 1900 Langue sanscrite,"Lévi is back; regular conferences are Bhagavad-Gītā and a continuous survey of Indian literature. Stickney is an active participant. No regular Pāli-Buddhism course appears here.",primary,https://www.persee.fr/doc/ephe_0000-0001_1900_num_1_1_2251,"Confirms realized teaching after the mission; remains separate from individualized/private reading."
P130-07,1899-1900,supplementary_instruction,EPHE IVe Section,Annuaire 1901 Langue sanscrite,"The report explicitly says that outside the two regular conferences Lévi continued Bhagavad-Gītā reading with Stickney.",primary,https://www.persee.fr/doc/ephe_0000-0001_1901_num_1_1_2303,"Direct primary proof that reported instruction could occur outside the regular conference programme. Strong modality control for the Lovejoy private-reading claim, not proof of the 1898 event."
P130-08,1905-1906,formal_Pali_programme,EPHE Ve Section,Programme des conférences,"Louis Finot formally advertises 'Explication de textes du canon pâli' and 'La littérature bouddhique'.",primary_later_control,https://www.persee.fr/doc/ephe_0000-0002_1904_num_18_14_19656,"Shows Pāli canon and Buddhist literature could be explicit catalogue categories in the same Lévi-Finot institutional network; does not backdate this exact formal title to 1896-99."
P130-09,1907-1908,home_instruction,EPHE IVe Section,Annuaire 1908 Langue sanscrite,"Henri Maspero and Oger regularly came Tuesdays 5-7 to Lévi's home to prepare two Sanskrit-Chinese lexica under his direction.",primary_later_control,https://www.persee.fr/doc/ephe_0000-0001_1908_num_1_1_2695,"Strong direct proof that home-based individual/small-group scholarly instruction formed part of Lévi's documented teaching practice; no retrojection to Lovejoy without letters."
P130-10,1908-1909,supplementary_Pali_work,EPHE IVe Section,Annuaire 1909-1910 Langue sanscrite,"From February, supplementary sessions with Dufresne compared two Chinese versions of the Questions of Menander with the Pāli Milinda-panha.",primary_later_control,https://www.persee.fr/doc/ephe_0000-0001_1909_num_1_1_8916,"Confirms Pāli could appear in supplementary comparative textual work outside a simple regular-course label."
P130-11,1898-1899,participant_list,EPHE IVe Section,Annuaire 1900 pp.116-129,"The IVe Section student/auditor list states 399 registrations for the two semesters and only prints auditors recognized by directors in their reports. Current indexed text search has not surfaced Lovejoy.",bounded_index_negative_not_absence,https://www.persee.fr/doc/ephe_0000-0001_1900_num_1_1_2272,"Do not infer Lovejoy did not attend Lévi. The list is selective by its own statement, and the searchable index may be incomplete."
P130-12,1898-10-09,public_return_control,EPHE / Sanskrit institutional network,Annuaire 1900 p.115,"Sylvain Lévi and Louis Finot represented the EPHE at the Abel Bergaigne monument inauguration at Vimy on 9 Oct 1898.",primary,https://www.persee.fr/doc/ephe_0000-0001_1900_num_1_1_2270,"This is a new hard public-presence date in France after the Asian mission, eight days before the first Wilson-cited Lovejoy Paris letter (17 Oct 1898). It sharply narrows Lévi's return-to-Paris institutional window without proving his exact Paris arrival day."
