case_id	year_period	actor_object	source_locus	unit_type	relation_type	claim_or_operation	proof_burden_or_failure_mode	evidence_status	control_note
LJ004_VINNANA	1898c	Lovejoy / Buddhist dependent-origination notes	MS38_004 PDF42 ms123	U1_TECHNICAL_TERM	R2_CLASSIFICATION+R3_TEMPORAL_SEQUENCE	viññāṇa is spatially nested inside nāma/nāmarūpa yet described as temporally antecedent and logically a subdivision	Do not infer temporal order from classificatory inclusion; same unit can occupy different relations	DIRECT_PAGE_IMAGE	research_notes/MS38_004_005_material_form_closure_2026-08-27.md
LJ004_SYSTEM_MAPPING	1898c	Lovejoy / khandha-nāmarūpa mapping	MS38_004 PDF41-42	U1_TERM+U2_SCHEMA	R1_SEMANTIC_ALIGNMENT+R2_CLASSIFICATION	maps two classificatory systems before testing temporal/logical mismatch	Cross-system mapping does not prove full semantic identity	DIRECT_PAGE_IMAGE	research_notes/MS38_004_005_material_form_closure_2026-08-27.md
LJ005_MORAL_BOUNDARY	1898-1905	Lovejoy / eschatological cases	MS38_005 PDF16-20	U4_PRACTICE_CASE+U7_SELECTOR_SYSTEM	R4_CAUSATION+R7_REPRESENTATIVENESS	separates custom/ritual/social determinants from moral desert; revisions cluster at boundary	Differentiated afterlife destination does not automatically prove moral reward/punishment	DIRECT_PAGE_IMAGE+TRANSCRIPTION	research_notes/MS38_004_005_material_form_closure_2026-08-27.md
LJ005_SELECTOR_SCHEMA	1898-1905	Lovejoy / afterlife classification	MS38_005 PDF24-27	U7_SELECTOR_SYSTEM	R6_FUNCTION+R4_CAUSATION	numbered/Roman-numeral schema reclassifies cases by distinct selectors	Visible case similarity/co-presence does not establish common mechanism	DIRECT_PAGE_IMAGE	research_notes/MS38_004_005_material_form_closure_2026-08-27.md
LJ005_COMPOSITE_NOTEBOOK	1898-1905+	Lovejoy notebook 005	MS38_005 inserted sequences	U10_COMPOSITE_ARCHIVAL_OBJECT	R3_CHRONOLOGY+R8_PROVENANCE	physically accretive slips/foldouts overlay previously written spreads	Physical compositeness proves accretion, not chronological sequence of ideas	DIRECT_PAGE_IMAGE	research_notes/MS38_004_005_material_form_closure_2026-08-27.md
LJ005_DATED_REUSE	1905	Lovejoy notebook reuse	MS38_005 PDF44	U2_DATED_ENTRY	R3_CHRONOLOGY	page headed Hist. Relig. — Dec. 20, 1905 proves reuse of notebook	Date applies to page/entry, not automatically adjacent or inserted layers	DIRECT_PAGE_IMAGE	research_notes/MS38_004_005_material_form_closure_2026-08-27.md
LJ005_P103_STRESS_TEST	1898-1905+	Lovejoy agriculture/domestication/sacrifice hypothesis	MS38_005 PDF103	U2_SCHEMA+U4_PRACTICE_CLUSTER	R3_SEQUENCE+R4_CAUSATION	branching diagram proposes developmental relation then prose raises vicious-circle chronological objection	Plausible developmental order requires independent sequence evidence	DIRECT_PAGE_IMAGE	research_notes/MS38_004_005_material_form_closure_2026-08-27.md
MARILLIER_SURVIVAL	1892-94	Marillier / survivals	EPHE reports + Survivance	U4_RITUAL_FORM+U6_BELIEF_SYSTEM	R9_CONTINUITY+R6_FUNCTION+R8_PROVENANCE	institutions/rites/legends can survive beliefs that generated them	Survival of form does not prove survival of original belief/function	DIRECT_PRIMARY_CONTROL	research_notes/MS38_004_001_061_005_Marillier_method_to_Lovejoy.md
MARILLIER_CEREMONY	1894-98	Marillier / marriage and sacrifice rites	EPHE reports	U4_CEREMONIAL_COMPLEX	R6_FUNCTION+R4_CAUSATION	co-present similar rites are divided into union purification preservation fecundation funerary expiatory magical etc	Phenomenal unity does not prove functional or causal unity	DIRECT_PRIMARY_CONTROL	research_notes/MS38_004_001_061_005_Marillier_method_to_Lovejoy.md
MARILLIER_MONOGRAPH	1895-99	Marillier comparative programme	EPHE reports	U4_CASE+U7_COMPARATIVE_GENERALIZATION	R7_REPRESENTATIVENESS+R4_CAUSATION	comparative generalization is tested against monographic case control	General law requires local case verification and may need restriction	DIRECT_PRIMARY_CONTROL	research_notes/MS38_004_001_061_005_Marillier_method_to_Lovejoy.md
SODERBLOM_REDIVISION	1901	Söderblom / eschatology	1901 study following Marillier	U7_SHARED_PROBLEM_FIELD	R6_FUNCTION+R4_CAUSATION	explicitly follows Marillier with d’autres divisions and different viewpoint; serializes selectors	Shared source field does not require identical division/aggregation	DIRECT_PRIMARY_CONTROL	research_notes/MS38_004_001_061_005_Marillier_method_to_Lovejoy.md
BRINTON_AMERICAN_RACE	1891->005	Brinton / Lovejoy	MS38_005 ms71 PDF46	U5_SOURCE_INFRASTRUCTURE	R8_SOURCE_USE+R5_TRANSMISSION	The American Race enters as ethnographic/case infrastructure	Bibliographic use does not prove doctrinal adoption or sole source route	DIRECT_MANUSCRIPT_EDGE	research_notes/HANDOFF_Brinton_005_2026-08-30.md
BRINTON_SACRIFICE	1897->005	Brinton / sacrifice synthesis	MS38_005 ms125 PDF62 + content concordance	U5_SYNTHESIS_PROBLEM_MAP	R8_SOURCE_USE+R6_AGGREGATION	Brinton provides bibliography/fair sketch and overlapping case cluster; Lovejoy repartitions by mechanism	Shared cases/problem cluster does not prove same aggregation rule	DIRECT_EDGE+TITLE_HOLD	research_notes/HANDOFF_Brinton_005_2026-08-30.md
LOVEJOY_PRIMITIVE_ENERGETICS	1906	Lovejoy / primitive religion	Primitive Energetics / Fundamental Concept	U7_ANALYTIC_TYPE	R6_FUNCTION+R7_REPRESENTATIVENESS+R3_CHRONOLOGY	reaggregates impersonal diffused transferable controllable efficacy as comparative causal family	Type identity must be separated from chronological priority and population representativeness	DIRECT_PRIMARY_CONTROL	research_notes/HANDOFF_Lovejoy_JHI_global_history_2026-08-31.md
LOVEJOY_1914_TYPE_TIME	1914	Lovejoy / dynamism	1914 comparative religion article	U7_ANALYTIC_TYPE	R1_TYPE_IDENTITY+R3_CHRONOLOGY	non-animistic type/content strongly asserted while pre-animistic priority only probable not demonstrable	Category/type does not establish chronological priority	DIRECT_PRIMARY_CONTROL	research_notes/HANDOFF_Lovejoy_JHI_global_history_2026-08-31.md
SPITZER_LOVEJOY	1944	Spitzer / Lovejoy JHI exchange	JHI 1944	U1_IDEA_PATTERN+U6_CULTURAL_WHOLE	R9_CONTINUITY+R4_CAUSATION	debate over decomposition continuity and movement explanation; Lovejoy treats major propositions as working hypotheses	Idea presence/content similarity does not establish historical continuity or causal explanation	DIRECT_PRIMARY_CONTROL	research_notes/JHI_Spitzer_Lovejoy_Mandelbaum_empirical_hypotheses_recurrence_control_1944_1948_2026-08-31.md
MANDELBAUM	1948	Maurice Mandelbaum / Lovejoy method	JHI 1948	U1_RECURRENT_IDEA+U8_TRANSMISSION_CHAIN	R9_CONTINUITY+R5_TRANSMISSION	distinguishes recurrent/similar ideas from continuous ideas historically transmitted; diffusion vs independent invention	Similarity/recurrence requires separate proof of transmission	DIRECT_PRIMARY_CONTROL	research_notes/JHI_internal_method_lineage_Spitzer_Pearce_Mandelbaum_1944_1953_2026-08-31.md
PEARCE	1948	Roy Harvey Pearce	JHI A Note on Method	U1_ANALYTIC_ELEMENT+U6_CULTURAL_PROCESS	R6_FUNCTION+R4_CAUSATION	Lovejoyian decomposition treated as pioneer stage; asks how ideas function in cultural process	Analytic decomposition alone does not explain cultural operation	DIRECT_PRIMARY_CONTROL	research_notes/JHI_internal_method_lineage_Spitzer_Pearce_Mandelbaum_1944_1953_2026-08-31.md
WIENER_DIRECT	1961	Philip P Wiener / influence	JHI 22.4 p537	U3_SOURCE_RECIPIENT	R5_INFLUENCE	direct textual/personal contact as one influence route	Contact is evidence opportunity not sufficient proof of doctrinal influence	SECONDARY_QUOTE+SKINNER_DIRECT_ACK	research_notes/Wiener_1961_p537_influence_mechanism_reconstruction_addendum_2026-08-31.md
WIENER_CHAIN	1961	Philip P Wiener / mediated influence	JHI 22.4 p537	U8_MEDIATED_NETWORK	R5_INFLUENCE	intermediaries' minds/talk/writings can form traceable influence chain	No direct contact does not preclude influence; mediation requires traceable chain evidence	SECONDARY_QUOTE+SKINNER_DIRECT_ACK	research_notes/Wiener_1961_p537_influence_mechanism_reconstruction_addendum_2026-08-31.md
WIENER_PUPIL	1961	Philip P Wiener / pupil-disciple	JHI 22.4 p537	U7_INSTITUTIONAL_RELATION+U3_ACTOR	R5_INFLUENCE	'not all pupils are disciples'	Teacher-pupil institutional proximity does not establish doctrinal uptake	SECONDARY_QUOTE+SKINNER_DIRECT_ACK	research_notes/Wiener_1961_p537_influence_mechanism_reconstruction_addendum_2026-08-31.md
WIENER_CLIMATE	1961	Philip P Wiener / climate of opinion	JHI 22.4 p537	U9_DIFFUSE_FIELD	R4_CAUSATION+R5_INFLUENCE	asks whether climate of opinion may count as influence	Distributed causal field cannot be proven by same route as named source chain	SECONDARY_QUOTE+SKINNER_DIRECT_ACK	research_notes/Wiener_1961_p537_influence_mechanism_reconstruction_addendum_2026-08-31.md
SKINNER_INFLUENCE	1969	Quentin Skinner	Meaning and Understanding	U3_AUTHOR_SOURCE_PAIR	R5_INFLUENCE	three tests: genuine similarity; alternative-source discrimination; low probability independent articulation	Similarity alone cannot establish influence	DIRECT_PRIMARY_CONTROL	research_notes/Wiener_1961_Skinner_1966_1969_influence_proof_burden_precontextualist_line_2026-08-31.md
SKINNER_SPEECH_ACT	1969+	Quentin Skinner / political text	Meaning and Understanding + later method	U3_AUTHORIAL_LINGUISTIC_ACT	R1_MEANING+R6_FUNCTION	asks what writer was doing with an utterance/text within linguistic conventions	Textual proposition detached from historical use/intention is insufficient for historical meaning	DIRECT_PRIMARY_CONTROL	research_notes/JHI_Parekh_Berki_1973_Skinner_1974_1976_roundtrip_method_debate_2026-08-31.md
