lead_id,country,repository,collection_title,collection_id,lead_basis,person_or_network_pivot,expected_material,primary_presence_status,component_locator_status,source_url,next_query,notes
GAL0001,US,Johns Hopkins University Special Collections,Department of Romance Languages records,RG-04-080,JHU Lovejoy authority reverse hit,Arthur O. Lovejoy,correspondence or institutional records,official_authority_attachment,unresolved,https://aspace.library.jhu.edu/agents/people/66,"search Lovejoy within RG-04-080 components","Authority attachment proves catalog relation, not yet a discrete Lovejoy document."
GAL0002,US,Johns Hopkins University Special Collections,Edward Franklin Buchner papers,MS-0089,JHU Lovejoy authority reverse hit,Arthur O. Lovejoy,correspondence,official_scope_note_confirmation,component_presence_resolved_locator_pending,https://aspace.library.jhu.edu/repositories/3/resources/105,"isolate the Lovejoy letter child record/date/container in MS-0089","Promoted to master GLA0021: official scope note explicitly says letters of Arthur O. Lovejoy are included. Exact count/date/container remains unresolved."
GAL0003,US,Johns Hopkins University Special Collections,George Boas papers,MS-0010,JHU Lovejoy authority reverse hit,Arthur O. Lovejoy,correspondence and History of Ideas work,official_authority_attachment,unresolved,https://aspace.library.jhu.edu/agents/people/66,"search Lovejoy within MS-0010 components","High-priority mature history-of-ideas network."
GAL0004,US,Johns Hopkins University Special Collections,Hermann Collitz papers,MS-0014,JHU Lovejoy authority reverse hit,Arthur O. Lovejoy,correspondence or philological institutional material,official_authority_attachment,unresolved,https://aspace.library.jhu.edu/agents/people/66,"search Lovejoy within MS-0014 components","Potential philological-network yield; current scope note only points users to related Lovejoy Papers material, so direct Collitz-fonds Lovejoy content is not yet established."
GAL0005,US,Johns Hopkins University Special Collections,Johns Hopkins University Press records,RG-03-020,JHU Lovejoy authority reverse hit,Arthur O. Lovejoy,publishing correspondence,official_authority_attachment,unresolved,https://aspace.library.jhu.edu/agents/people/66,"search Lovejoy within RG-03-020 components","Potential book/article editorial and press history."
GAL0006,US,Johns Hopkins University Special Collections,Raymond Dexter Havens papers,MS-0024,JHU Lovejoy authority reverse hit,Arthur O. Lovejoy,correspondence,official_authority_attachment,unresolved,https://aspace.library.jhu.edu/agents/people/66,"search Lovejoy within MS-0024 components","Likely History of Ideas / literary-historical institutional network; component still required."
GAL0007,US,Johns Hopkins University Special Collections,Victor Lowe papers,MS-0284,JHU Lovejoy authority reverse hit,Arthur O. Lovejoy,student notebook and personal-series material,official_scope_note_confirmation,component_presence_resolved_locator_pending,https://aspace.library.jhu.edu/repositories/3/resources/291,"isolate the Lovejoy-class notebook child record and any Lovejoy-related Personal Series items","Promoted to master GLA0022. Finding aid explicitly says a Harvard notebook is from Arthur Lovejoy's class and also says a few personal-series items relate to Lovejoy/Boas/Hammond. Exact item date/container remains unresolved."
GAL0008,US,Johns Hopkins University Special Collections,Margaret Donaldson Boehm papers,MS-0044-a,JHU Lovejoy authority reverse hit,Arthur O. Lovejoy,unknown,official_authority_attachment,unresolved,https://aspace.library.jhu.edu/agents/people/66,"search Lovejoy within MS-0044-a components","Lower-priority until component relation is exposed."
GAL0009,US,Johns Hopkins University Special Collections,Daniel Willard papers,MS-0401,network fan-out from MS-0038 correspondent,Daniel Willard,possible reciprocal correspondence,network_pivot_only,unverified_for_lovejoy,https://aspace.library.jhu.edu/,"search Arthur O. Lovejoy in Daniel Willard papers","Recipient-fonds reverse search; no Lovejoy presence claimed yet."
GAL0010,US,Johns Hopkins University Special Collections,Frank J. Goodnow papers,MS-0003,network fan-out from MS-0038 correspondent,Westel W. Willoughby / Goodnow network,possible institutional correspondence,network_pivot_only,unverified_for_lovejoy,https://aspace.library.jhu.edu/,"search Arthur O. Lovejoy within MS-0003","Network lead, not evidence of a Lovejoy document."
GAL0011,US,Johns Hopkins University Special Collections,Basil Lanneau Gildersleeve papers,MS-0005,network fan-out through Paul Haupt,Paul Haupt / classical and Semitic philology,possible correspondence or committee records,network_pivot_only,unverified_for_lovejoy,https://aspace.library.jhu.edu/,"search Arthur O. Lovejoy within MS-0005","Useful for distributed philological ecology only if a direct component is recovered."
GAL0012,US,Stanford University Archives,Lovejoy correspondence holding named by Daniel J. Wilson,,Wilson 1981 archival bibliography,Stanford / Ross case,correspondence,secondary_lead,current_component_not_found,https://oac.cdlib.org/,"search exact Lovejoy name variants plus Ross Jordan faculty resignation in Stanford archival finding aids","Current exact-name OAC pass produced no verified Lovejoy component; retain the lead rather than treating it as absence."
GAL0013,US,University of California Berkeley Bancroft/University Archives,Lovejoy correspondence holding named by Daniel J. Wilson,,Wilson 1981 archival bibliography,UC Berkeley / Howison lecture,correspondence,secondary_lead,current_component_not_found,https://oac.cdlib.org/,"search exact Lovejoy name variants in Berkeley faculty administration and lecture fonds","A 1923 Howison Lecture institutional record is known, but no correspondence component was primary-verified in this pass."
GAL0014,US,Washington University Archives St. Louis,Lovejoy correspondence holding named by Daniel J. Wilson,,Wilson 1981 archival bibliography,Washington University philosophy and teaching,correspondence and course records,secondary_lead,current_component_not_found,https://library.wustl.edu/spec/,"search Lovejoy in faculty records presidential records and pre-1910 course catalogs","Current exact-name archival pass did not surface the Wilson correspondence component."
GAL0015,US,University of Missouri Archives,Lovejoy correspondence holding named by Daniel J. Wilson,,Wilson 1981 archival bibliography,University of Missouri,correspondence,secondary_lead,photographic_component_confirmed_correspondence_unresolved,https://muarchives.missouri.edu/,"continue exact-name search across correspondence/administrative box lists","Batch 76 primary-verifies a separate 1939 photographic entry, but that does not resolve Wilson's correspondence lead."
GAL0016,US,George Washington University Special Collections Research Center,American Association of University Professors Papers,,Wilson 1981 plus current AAUP archive page,AAUP,correspondence investigation files recordings,official_archive_presence,recording_group_confirmed_other_components_unresolved,https://www.aaup.org/about/history/aaup-archives,"recover GWU finding aid identifier and search Lovejoy across correspondence Committee A investigation and officer files","Several Lovejoy Dictaphone interviews are primary-confirmed; modern AAUP scholarship also cites specific folders in this GWU collection, showing substantial component-level description exists even though the public finding-aid URL/identifier has not yet been recovered."
GAL0017,US,Johns Hopkins University Ferdinand Hamburger Jr. Archives,Lovejoy correspondence holding named by Daniel J. Wilson,,Wilson 1981 archival bibliography,Johns Hopkins distributed institutional archives,correspondence,secondary_lead,current_component_not_found,,"identify current Hamburger Archives catalog and exact Lovejoy component","Keep separate from Sheridan Libraries MS-0038 and Medical Archives."
GAL0018,US,Harvard University Archives and Houghton Library,Lovejoy correspondence holdings named by Daniel J. Wilson,,Wilson 1981 plus current HOLLIS name indexing,William James Hocking Sarton Levin and others,correspondence,partially_primary_verified,multiple_series_presence_exact_children_pending,https://hollisarchives.lib.harvard.edu/,"use downloadable finding-aid CSV/name facets to isolate exact Lovejoy children","Batch 76 confirms multiple Houghton manifestations; Batch 77 also adds a separate Harvard University Archives Hart printed-material trace. The Wilson Harvard correspondence lead is broader than these hits."
GAL0019,US,Harvard Law School Library Historical & Special Collections,Roscoe Pound papers,LAW.MMC.084,AAUP official-history transcript of a Lovejoy letter found in Pound microfilm,Roscoe Pound / AAUP founding,Lovejoy-sent Hopkins Call letter or circular,secondary_specific_lead,primary_collection_confirmed_component_unresolved,https://hollisarchives.lib.harvard.edu/catalog/law00087,"locate the 1913 Lovejoy-to-Pound Hopkins Call in LAW.MMC.084 online finding aid/microfilm map","AAUP historian Hans-Joerg Tiede reports transcribing one copy of the Hopkins Call from the microfilm Roscoe Pound Papers and says it was sent by Lovejoy to Pound asking him to represent Harvard. Harvard primary finding aid confirms the Pound collection and its microfilm reorganization but current exact Lovejoy child search did not surface the item; do not promote until primary locator recovered."
GAL0020,US,Princeton University Library,Franklin Book Programs Records,MC057,exact literal finding-aid component plus identity uncertainty,"Lovejoy, Arthur",publishing/rights correspondence,official_literal_component,identity_hold,https://findingaids.library.upenn.edu/records/PRIN_MUDD_MC057,"inspect the 1961-1965 Lovejoy folder for full identity, titles, rights, estate or correspondent names","Exact one-folder archival presence is real; attribution to Arthur O. Lovejoy remains unproved because no middle initial is supplied and the date range extends beyond 1962."
GAL0021,US,Princeton University Library,George McLean Harper Papers,C0313,exact literal finding-aid component plus identity uncertainty,"Lovejoy, Arthur",correspondence,official_literal_component,identity_hold,https://findingaids.library.upenn.edu/records/PRIN_MUDD_C0313,"inspect the Lovejoy folder or correspondent authority index","One folder exists under Arthur Lovejoy with dates not examined. Context is plausible for Arthur O. but insufficient for promotion."
GAL0022,US,Princeton University Library,John Q. Stewart Papers,C0571,exact literal finding-aid component plus identity uncertainty,"Lovejoy, Arthur",correspondence or subject file,official_literal_component,identity_hold,https://findingaids.library.upenn.edu/records/PRIN_MUDD_C0571,"inspect the full-box Lovejoy component before normalization","The full-box extent makes identity verification especially important."
GAL0023,US,Haverford College Quaker & Special Collections,Douglas V. and Dorothy M. Steere papers,MC.1174,alphabetical archival resource key,Arthur Lovejoy,correspondence or subject material,official_literal_component,identity_and_document_type_hold,https://findingaids.library.upenn.edu/records/HAVERFORD_HC.MC.1174,"inspect Box 132 Lan-Le for the Lovejoy entry","The public finding aid supplies an exact physical group locator (Box 132) and the literal name 'Lovejoy Arthur' but not middle initial, date, extent, or document type."
