issue,smith_position,lovejoy_local_test,lovejoy_local_status,smith_1909_reply,proof_architecture,global_implication
"overall method","Theory is cumulative and must be judged as a unit; facts gain force through coherent adjustment","Reduce main argument to clear definite contentions; identify principal evidence for each; judge genuineness and adequacy","explicit primary-secure","Local objections atomize a cumulative case and miss its total force","local-link validation versus cumulative-configurational inference","Lovejoy later adds antecedent-probability control rather than stopping at atomized criticism"
"broad Gnostic/syncretic context","Early Christianity arose in a wide pre-Christian Gnostic/syncretic field","Simon evidence is too entangled for specific conclusions, but broad Gnostic-type movements and Jewish/Greek/Persian fusion are a reasonable probability","broad context accepted; specific genealogy withheld","Broad context supports the unified reconstruction","comparison/context can survive failed genealogy","same broad probability does not establish descent"
"Naassene priority and descent","Hippolytus makes Naassenes first; later Gnosticism descends from them","Cited passages do not state universal descent; same chapters describe Naassenes as Christian and link doctrine through Jesus/Mary/James","load-bearing chronology/genealogy fails","Descent is Smith's inference from diffuse statements; first has chronological force; parsimony favors one Ophitic source","source-local warrant versus inferential unification","holistic coherence cannot erase adverse evidence inside the chosen source"
"Parable of the Sower","Parable is reworking of pre-Christian Naassene Gnostic cosmology","Idea has intrinsic plausibility but depends on pre-Christian dating of Naassene version, which source control does not sustain","plausible motif; genealogical inference fails","Cumulative case supplies the larger chronological setting","downstream claim inherits failure of load-bearing chronological premise","plausibility is not historical proof"
"Paris Magic Papyrus","Invocation of Hebrew god Jesus supports pre-Christian Jesus cult","If pre-Christian it would be significant; date remains conjectural","potentially diagnostic but chronologically inert","Treat as one cumulative item among many","datum significance conditional on chronology","unsecured date prevents genealogical weight"
"Apollos in Acts","Knowledge of Jesus plus only John's baptism implies independent pre-Christian Jesus cult","Argument has prima facie force, but local Acts context supplies a more natural and equally adequate early-Christian explanation","underdetermined; not independent proof","Cumulative context favors Smith's affiliation reading","explanatory redundancy / underdetermination","an equally adequate non-genealogical explanation lowers evidentiary force"
"Nazoraeus / Nasaraioi","Etymology and Epiphanius reveal pre-Christian sectarian continuity leading to Jesus Nazoraeus","Etymology has pertinency and may yield fruit, but Epiphanius separates Nazoraioi/Nasaraioi; practices differ; continuity and Jesus cult are not shown","linguistic possibility accepted; historical identity chain not established","Labels may be semantically reinterpreted; hostile sources suppress older continuity","semantic decomposition on both sides; different recomposition thresholds","possible etymology does not entail same sect, continuity, or cult"
"resurrection / raising vocabulary","Original technical sense concerns raising/bringing forward Messiah rather than resurrection from dead","Classical, Hellenistic, Hebrew and NT counter-usages show relevant forms can carry resurrection sense; cited contexts do not establish Smith's proposed historical priority","lexical-historical inference unsupported","The linguistic argument is only one part of a cumulative case and must be judged with the whole","lexical range versus technical historical significance","semantic possibility cannot by itself establish original technical sense or causal genesis"
"use of adverse/hostile sources","Involuntary testimony of biased heresiologists may reveal truths against their explicit classifications","Lovejoy gives explicit classifications and adverse contextual statements substantial chronological weight","source-theory conflict remains","Unpremeditated statements may be more probative than polemical explicit chronology","explicit source context versus involuntary-testimony extraction","both are source-critical; dispute concerns which level may override which"
"final adjudication / prior probability","Coherent accumulation can warrant revolutionary historical reconstruction","After neutral claim-by-claim audit, theory is said to conflict with antecedent probabilities and therefore require an overwhelming mass of specific historical evidences","global rejection after local audit","Whole configuration and future accumulated evidence are invoked","prior-sensitive burden versus coherence-sensitive accumulation","claim extraordinariness raises proof burden; cumulative coherence is admissible but not self-sealing"
