region,source,observer_type,evidence_resolution,external_custom,lexical_occurrence,grammatical_morphology,native_explanation,semantic_core,adverse_or_complicating_evidence,lovejoy_use,claim_ceiling,source_control_status
North_America,W J McGee late Bureau ethnography,specialist_ethnography,high,HIGH,HIGH,MEDIUM,MEDIUM,"broad wakonda distribution; unusual power/efficacy","does not distinguish essential meaning from secondary connotations","high-trust distributional/semantic source then analytically refined","supports category existence and broad application; not final semantic essence",confirmed_primary_1906_pp363_364
North_America,Alice C Fletcher Omaha,specialist_field_ethnography,high,HIGH,HIGH,MEDIUM,HIGH,"common life; communicability/transferability","will-power interpretation too narrow","retains field structure while revising theoretical narrowing","supports transferable common-life mechanism; not Lovejoy's full philosophical abstraction",confirmed_primary_1906_p364ff
North_America,M V P Osage 1827,early_observer,medium,HIGH,MEDIUM,NONE,LOW,"external ritual and term-use context","personal-deity translation and prayer interpretation require correction","retains morphology/context; rejects translation and mechanism attribution","external fact yes; ontology/mechanism no",confirmed_primary_exact_wording_recheck_before_quote
North_America,Roger Williams 1643,missionary_colonial_linguistic_witness,low_medium,MEDIUM,HIGH,NONE,LOW,"historic concrete Manitou application to unusual efficacy","god gloss theological/personifying","strips theological gloss while retaining lexical application","concrete historical application only",confirmed_primary_1906_Algonkin_sequence
North_America,Early Jesuits plus Bressani 1653,missionary_observers,low_medium,HIGH,HIGH,NONE,LOW,"oki/manitou applied to extraordinary persons or efficacious objects","cannot establish single pervasive abstract property","explicit proof ceiling stated by Lovejoy","concrete application yes; universal abstract force no",confirmed_primary_1906_p370
North_America,William Jones 1905,specialist_linguistic_field_study,very_high,HIGH,HIGH,HIGH_inanimate_gender,HIGH_native_sweatlodge_and_absorption_explanations,"impersonal property/abstraction; omnipresent efficacy; transfer mechanism","property/object identification can blur gender distinction","introduced exactly where older packet reaches semantic ceiling","licenses strong abstract-property and transfer-mechanism claim",confirmed_primary_1906_p371_batch77_pending_closed
North_America,Dorsey Omaha Sociology,specialist_ethnography,high,HIGH,HIGH,MEDIUM,HIGH,"customs associated by informants with Wakanda","Lovejoy calls Dorsey's personification erroneous","retains custom/informant relation; rejects ontology implied by reporter wording","custom-to-concept association yes; personal Wakanda no",confirmed_primary_1906_p372
Oceania,R H Codrington The Melanesians 1891,missionary_ethnographer_linguistic_authority,high,HIGH,HIGH,MEDIUM,HIGH,"mana as power/influence; transferable/conveyable efficacy","calls it in a way supernatural and says personal beings essentially originate it","Lovejoy foregrounds efficacy/transferability; later rejects supernormal as semantic core","strong distributed/transferable efficacy evidence; pure impersonality remains tension",confirmed_primary_1906_pp372_373_and_p380
Polynesia,various observers synthesized by Lovejoy,mixed_travel_missionary_ethnographic,low_medium,MEDIUM,HIGH,LOW,LOW,"atua-like terms tied to unusual power/excellence","observer resolution uneven and some personifying glosses","used mainly in independent-observer convergence","minimal cross-regional semantic core; richer mechanism partly extrapolated",confirmed_primary_1906_pp373_376
Bantu_Yao,Alexander Hetherwick 1902,long_term_missionary_linguist,very_high,HIGH,HIGH,HIGH_nonpersonal_noun_class,HIGH,"mulungu as inhering property/quality rather than personal being","missionaries adopted term as God; some usage grammatically/personally ambiguous","independent grammatical control parallel to Jones","licenses non-personal property reading and broad efficacy category",confirmed_primary_1906_pp374_375_bibliography_vol32_not33
Masai,Joseph Thomson Through Masailand 1885,traveler_observer,medium,HIGH,HIGH,NONE,LOW,"ngai broadly applied to observer lamp strange/incomprehensible phenomena","strangeness may be observer-level gloss rather than semantic core","used as wide-application evidence","broad application only; not sufficient ontology",confirmed_primary_1906_p375
Masai,Hollis book 1905 Introduction by Sir Charles Eliot,collector_plus_introductory_interpreter,medium_high,HIGH,HIGH,MEDIUM,MEDIUM,"Eng-ai can be addressed personally yet also applied/invoked across natural phenomena and a medicine-man","explicit personal prayer evidence complicates impersonal category; Lovejoy attributes interpretive conclusion to Hollis though passage is Eliot intro","retains adverse personality evidence while using ambiguity to prevent fixed personal ontology","supports semantic instability/undifferentiated personality; not pure impersonality",confirmed_primary_and_bibliographic_author_attribution_correction
Cross_regional,Lovejoy p376 independent observers,synthesis,mixed_by_design,NA,HIGH_cross_region,VARIES,VARIES,"near-verbal convergence on impersonal/property/transferable-energy minimal core","several observers miss finer ramifications and meanings","explicitly distinguishes minimal convergence from richer American evidence","licenses minimal common core across regions",confirmed_primary_1906_p376
Cross_regional,Lovejoy p377 North_American_key,synthesis_inference,asymmetric,NA,HIGH_surface_parallel,high_in_NA_and_Yao,high_in_NA,"richer meanings from accurate North-American observation used as probabilistic key for analogous terms","not all regions independently evidenced at same semantic/mechanism resolution","probabilistic cross-regional extrapolation immediately before vera causa claim","universal category plausible but regionally unequal in proof resolution",confirmed_primary_1906_p377
