year	volume_issue	author	title	region_object	role_code	role_description	internal_vs_relation_address	evidence_status	interpretive_note
1943	4.1	Louis B. Wright	The Noble Savage of Madagascar in 1640	Madagascar/Africa	R7_REPRESENTATION	Non-Western locale/people as object in European noble-savage representation	WEST_FACING_REPRESENTATION	DIRECT_JSTOR_TOC	Early Africa presence must not be coded as African intellectual history; it is a history of European/colonial representation.
1945	6.4	Donald F. Lach	Leibniz and China	China	R2_SOURCE_ANTECEDENT+R4_CONTACT_TRANSMISSION	China/Chinese knowledge as source/contact field within a European canonical thinker's intellectual history	WEST_FACING_RELATIONAL	DIRECT_JSTOR_TOC	Strong early China entry, but historiographical address remains Leibniz/Europe.
1949	10.1	Elizabeth Flower	The Mexican Revolt Against Positivism	Mexico/Latin America	R5_REACTION_TRANSFORMATION+R6_REGIONAL_HISTORIOGRAPHY	Local actors reject/rework an imported intellectual programme; region treated as a site of intellectual change	REGIONALLY_ADDRESSED	DIRECT_JSTOR_TOC	Important pre-Zea evidence that Latin-American reception/revolt could already be written as JHI intellectual history.
1949	10.1	Herrlee Glessner Creel	Sinism--A Clarification	China	R1_CONCEPTUAL_CLARIFICATION+R3_COMPARATIVE_CONTROL	Debate over how Chinese thought/culture should be conceptually classified in a comparative framework	MIXED_INTERNAL_COMPARATIVE	DIRECT_JSTOR_TOC_CONTENT_READ_PENDING	Do not infer exact target until article text is read; title/context places China inside a conceptual-methodological dispute.
1949	10.1	Arthur F. Wright	Professor Northrop's Chapter on the Traditional Culture of the Orient	Asia/Orient	R3_COMPARATIVE_META_CRITIQUE	Review-discussion evaluating a large comparative model of 'Oriental' traditional culture	META_COMPARATIVE	DIRECT_JSTOR_TOC	Shows area specialist policing the validity of broad East/West synthesis inside JHI.
1949	10.4	Mary Wyman	Chinese Mysticism and Wordsworth	China/England	R2_SOURCE_ANTECEDENT+R4_TRANSMISSION	Chinese intellectual/religious materials connected to a European literary genealogy	WEST_FACING_RELATIONAL	DIRECT_JSTOR_TOC	Continuation of China-as-source/antecedent role before the 1951 reaction symposium.
1950	11.3	R. C. Bald	Sir William Chambers and the Chinese Garden	China/Britain	R2_SOURCE_ANTECEDENT+R4_CULTURAL_TRANSFER	Chinese garden/aesthetic material reconstructed through British reception	WEST_FACING_RELATIONAL	DIRECT_JSTOR_TOC	Non-Western object enters via cultural translation/reception in Europe.
1951	12.1	Joseph Needham	Human Laws and Laws of Nature in China and the West (I)	China/West	R3_COMPARATIVE_COCASE	China and West treated as co-comparable intellectual traditions around law/nature	BILATERAL_COMPARATIVE	DIRECT_JSTOR_TOC	Issue-opening placement marks stronger parity of comparative address than 1935 supplementary India.
1951	12.1	Arthur F. Wright	Fu I and the Rejection of Buddhism	China/Buddhism	R5_REACTION_TRANSFORMATION	Chinese actor rejects imported Buddhism; recipient society is active intellectual agent	REGIONALLY_ADDRESSED_RECEPTION	DIRECT_JSTOR_TOC	Key move from Asia-as-source-for-Europe to non-Western recipient/rejecter of imported ideas.
1951	12.1	Hellmut Wilhelm	The Problem of Within and without, a Confucian Attempt in Syncretism	China/Confucianism	R5_REACTION_TRANSFORMATION	Chinese intellectual system actively reorganizes outside/inside materials through syncretism	REGIONALLY_ADDRESSED_RECEPTION	DIRECT_JSTOR_TOC	Same symposium operationalizes syncretism rather than passive diffusion.
1951	12.1	Benjamin Schwartz	Ch'en Tu-Hsiu and the Acceptance of the Modern West	China/Modern West	R5_REACTION_TRANSFORMATION	Chinese actor's selective acceptance of imported modern Western ideas	REGIONALLY_ADDRESSED_RECEPTION	DIRECT_JSTOR_TOC	Modern reception history; later becomes foundational China intellectual-history scholarship.
1951	12.2	Ernest A. Moody	Galileo and Avempace: The Dynamics of the Leaning Tower Experiment (I)	Islamic/Andalusian philosophy + Europe	R2_SOURCE_ANTECEDENT+R4_TRANSMISSION	Arabic/Islamic philosopher reconstructed as a technically significant antecedent/intermediary in European science history	WEST_FACING_RELATIONAL	DIRECT_BIBLIOGRAPHIC_HIGH_GRADE	Arabic thought enters deeply and technically, but the narrative address is still Galileo/European scientific genealogy.
1951	12.3	Ernest A. Moody	Galileo and Avempace: The Dynamics of the Leaning Tower Experiment (II)	Islamic/Andalusian philosophy + Europe	R2_SOURCE_ANTECEDENT+R4_TRANSMISSION	Continuation of Avempace/Galileo source and dynamics reconstruction	WEST_FACING_RELATIONAL	DIRECT_JSTOR_TOC+MPIWG	Long two-part treatment shows substantial Arabic technical source-work inside JHI.
1952	13.2	Roy Harvey Pearce	The 'Ruines of Mankind': The Indian and the Puritan Mind	Native American / Puritan New England	R7_REPRESENTATION+R8_IDEA_TO_ACTION	Indigenous figure as symbolic/intellectual object in Puritan thought; links representation to colonial cultural process	SETTLER_INTELLECTUAL_HISTORY	DIRECT_BIBLIOGRAPHIC_HIGH_GRADE	Do not conflate 'Indian' with South Asia; this is Pearce's savagism/colonial-representation programme.
1952	13.4	P. T. Raju	The Development of Indian Thought	India/South Asia	R1_INTERNAL_CONCEPTUAL_HISTORY	Indian philosophy narrated as an internally developing intellectual tradition from Vedic/Upanishadic roots onward	INTERNALLY_ADDRESSED	DIRECT_JSTOR_METADATA+FULLTEXT_CARRIER	Major regime marker: by 1952 India is no longer only supplementary/comparative evidence; a South Asian intellectual tradition is itself the historical subject.
1954	15.1	Richard M. Morse	Toward a Theory of Spanish American Government	Spanish America/Latin America	R1_INTERNAL_CONCEPTUAL_HISTORY+R6_REGIONAL_HISTORIOGRAPHY	Regional political-intellectual structures treated as an internally analyzable historical field	REGIONALLY_ADDRESSED	DIRECT_JSTOR_TOC	Strengthens Latin-American regional intellectual/political history before later Zea convergence.
1955	16.4	Buddha Prakash	The Hindu Philosophy of History	India/Hindu thought	R1_INTERNAL_CONCEPTUAL_HISTORY	Hindu historical thought/philosophy treated directly as an intellectual tradition	INTERNALLY_ADDRESSED	DIRECT_JSTOR_TOC+DOI	Confirms 1952 Raju is not an isolated one-off; South Asian internal intellectual history recurs in JHI.
