region_or_network	date_range	institution_or_carrier	key_actors	primary_object_or_unit	funding_or_support	publication_carrier	JHI_link	International_Society_link	network_strength	evidence_status	interpretive_status
US_Hopkins_core	1923-1953	Johns Hopkins History of Ideas Club	Arthur O. Lovejoy; George Boas; H.C. Lancaster; Gilbert Chinard; Marjorie Nicolson; others	general ideas / development / influence across philosophy literature science politics	Hopkins institutional support; later publication via Hopkins Press	Club seminars; 1935 Primitivism volume; Studies in Intellectual History 1953	Founders and intellectual programme feed JHI 1940	Personnel later overlap Society	VERY_HIGH	DIRECT_FINDING_AID+PROGRAMME	Seminar/research community; formally Occidental jurisdiction but practice exceeds it.
ACLS_field_building	late1930s-1940	ACLS Committee on History of Ideas	Lovejoy chair; Richard McKeon and others reported; exact roster open	field organization / interdisciplinary history of ideas	ACLS	JHI launch / related scholarly planning	Official ACLS history says committee initiative launches JHI in 1940	Possible personnel prehistory; direct organizational link to Society not established	HIGH	OFFICIAL_ACLS+ARCHIVAL_TARGET	Planning/funding carrier distinct from Club and JHI Inc.; exact committee files remain priority.
JHI_corporation	1940-present	Journal of the History of Ideas Inc.	Lovejoy; Philip P. Wiener; later Boas/Kelley/editorial boards	journal / interdisciplinary intellectual history	independent educational nonprofit; subscription/publishing revenues; later university-press relations	Journal of the History of Ideas	Core institution	Personnel/publication overlap with Society, especially Wiener	VERY_HIGH	DIRECT_ADS+IRS_DERIVED+EDITORIAL_RETROSPECTIVE	Mobile corporate carrier; distinguish legal governance, editorial boards, publishers and university bases.
China_thought_network	1949-1973	AHA sessions -> Committee on Chinese Thought -> Far Eastern Association/AAS + ACLS/Rockefeller-linked ecology	Arthur F. Wright; John K. Fairbank; David Nivison; Benjamin Schwartz; Joseph Levenson; Hellmut Wilhelm; Wm. Theodore de Bary; Mortimer Graves	Chinese thought / reception of imported ideas / civilization / institutions	ACLS encouragement; Rockefeller support; AAS/FEA infrastructure	JHI 1951 symposium; Studies in Chinese Thought; Chinese Thought and Institutions; Confucianism in Action	Direct: Wright symposium organizer/contributor; 1960 JHI meta-method; later JHI Board of Editors	Indirect via Cambridge Society network / Wiener; not yet organizationally merged	VERY_HIGH	DIRECT_ISSUE+ANNUAL_REPORTS+ARCHIVAL/SECONDARY	Parallel area-studies intellectual-history infrastructure; non-Western actors increasingly treated as recipients/reworkers, not only sources for Europe.
EastWest_Nakamura	1945-1973	Japanese Ministry comparative project -> Rockefeller translation -> Stanford seminar -> Committee on Chinese Thought -> UNESCO -> East-West Center	Hajime Nakamura; Philip Wiener; Arthur F. Wright; David Nivison; Donald Davidson; Kenneth Inada; Charles Moore	ways of thinking; Buddhist transmission; selection/adaptation/modification across India-China-Tibet-Japan	Japanese Ministry; Rockefeller; UNESCO; East-West Center	Ways of Thinking of Eastern Peoples 1960/1964	Wiener edits; Wright foreword; Nakamura JHI review 1969 and Corresponding Editor 1973	Wiener Society leader; broader international history-of-ideas ecology	VERY_HIGH	DIRECT_BOOK_FRONTMATTER+SCREENSHOT	Transpacific collaborative infrastructure; Buddhism becomes mobile comparative input; explicit shift from innate/national/racial traits toward socio-cultural/environmental explanation.
LatinAmerican_Zea	1947-1975	IPGH Comité de Historia de las Ideas en América -> national projects/FCE -> 1956 seminar	Leopoldo Zea; Luis Recaséns Siches; José Gaos network; Arturo Ardao; Edmundo O'Gorman; others	national histories of ideas -> general American history of thought	IPGH; Rockefeller-supported travel/research ecology; FCE publication infrastructure	national histories / FCE series; later JHI discussion	Early Wiener approval; Zea Corresponding Editor 1973; Gracia review-article 1975	Direct convergence at Mexico City 1962 conference with Zea committee + UNAM	VERY_HIGH	CONTEMPORARY_PROJECT_REPORT+MODERN_HISTORY+JHI_GOVERNANCE	Independent Latin American historia-de-las-ideas tradition converges with Wiener/JHI; do not treat as regional branch of Lovejoy.
International_Society	1960-1975+	International Society for the History of Ideas	Philip P. Wiener (vice president 1960); Aaron Noland; Bronowski; Butterfield; later international participants	cross-period problem concepts: individualism; violence/aggression; freedom of thought/expression	Rockefeller grant documented 1975; member/institutional support	conference papers in JHI 1961; Violence and Aggression 1974; planned conference volumes	Very strong personnel and publication circuit via Wiener/JHI	Self	VERY_HIGH	ARCHIVES+CONFERENCE_PROVENANCE+FOUNDATION_REPORT	International conference machine distinct from JHI Inc.; Cambridge 1960 -> Mexico 1962 -> third violence conference/seminar c.1972 -> Venice 1975 fourth.
SouthAsia_internal_JHI	1955-1970s	Article/review layer; no separate JHI-linked regional committee yet recovered	Budh Prakash; Hajime Nakamura; Daya Krishna via East-West ecology; others	Hindu philosophy of history; Indian/Buddhist thought	various; East-West/UNESCO/Rockefeller for Nakamura route	JHI articles/reviews; Ways of Thinking	Direct article level and Nakamura governance	Indirect via Society/Wiener; specific Indian regional organization not yet recovered	MEDIUM	DIRECT_METADATA+NAKAMURA_INFRASTRUCTURE	India moves from 1935 supplementary corpus to internal philosophical object and trans-Asian source; independent institutional history-of-ideas network remains open.
Islamic_Arabic_JHI	1963-1975	Article layer; broader Islamic/Middle East area-studies ecology not yet connected directly to JHI governance	Nicholas Rescher; Majid Fakhry; others	Arabic logic; al-Farabi; Greek-Arabic philosophical recombination	unknown in current pass	JHI articles	Direct article-level coverage	No secure Society/regional institutional link yet	MEDIUM_LOW	DIRECT_METADATA	Non-Western actors treated as philosophical reworkers rather than passive sources in some articles; institutional interface still unproven.
Africa_JHI	1941-1975	Article/representation layer; no strong JHI-linked African history-of-ideas institution recovered in bounded pass	Wylie Sypher; Warren Gates; later Africanist historians outside JHI	African prince representations; Ibn Khaldun climate/culture; images of Africa	unknown / broader African Studies ecology	JHI articles plus external African intellectual-history literature	Article-level only in current pass	No secure Society/regional institutional link yet	LOW_TO_MEDIUM	TITLE/METADATA+BOUNDED_NEGATIVE	Important negative control: current evidence shows coverage but not a JHI-linked African institutional network comparable to China/Zea/Nakamura. Do not infer absence historically; search remains open.
