record_id,event_year,subject,primary_or_contemporary_source,evidence_grade,documented_finding,evidence_limit
B188-01,1904,Howison commemorative publication context,University of California Publications in Philosophy vol.1 catalogue/series notice,A_direct_contemporary_bibliographic_record,"Volume I was prepared in commemoration of George Holmes Howison's seventieth birthday and lists Lovejoy's The Dialectic of Bruno and Spinoza at pp.141-174 with Lovejoy identified as Professor of Philosophy at Washington University.",Does not establish Lovejoy attended any celebration or participated in the editorial committee.
B188-02,1904,Opening historiographic problem,Lovejoy The Dialectic of Bruno and Spinoza p.141,A_direct_primary,"Lovejoy opens by treating the classification of Spinoza's system and its relation to historic doctrinal types as an unresolved problem and contrasts radically divergent interpretations.",Does not by itself establish the later genealogical solution.
B188-03,1904,Explicit methodological programme,Lovejoy The Dialectic of Bruno and Spinoza p.145,A_direct_primary,"Lovejoy says he will exhibit Spinoza's dialectical procedure through examination of its historical sources and affinities and comparison with Bruno.",Historical affinity must not automatically be redescribed as direct borrowing.
B188-04,1904,Metaphysical otherworldliness correct locator,Lovejoy The Dialectic of Bruno and Spinoza p.151,A_direct_primary,"Lovejoy describes Platonic transcendence as a sort of metaphysical otherworldliness and argues that internal contradiction made a movement toward inclusive monism/immanence natural or inevitable.",Corrects the earlier provisional p.174 locator; phrase is on p.151.
B188-05,1904,Deliberate retention of contradiction,Lovejoy The Dialectic of Bruno and Spinoza p.153,A_direct_primary,"Lovejoy says Neo-Platonism deliberately accepted both immanence and transcendence because both appeared equally necessary consequences of a single metaphysical principle.",Does not imply Lovejoy approves the metaphysical principle.
B188-06,1904,Bruno transformation of inherited system,Lovejoy The Dialectic of Bruno and Spinoza p.160ff,A_direct_primary,"Lovejoy distinguishes Bruno's distinctive temper emphases and corrections from continuity in the essential outlines and dialectical method of Renaissance Neo-Platonism.",Continuity of method does not erase genuine doctrinal novelty.
B188-07,1904,Single dialectical ground and historical source,Lovejoy The Dialectic of Bruno and Spinoza pp.172-173,A_direct_primary,"Lovejoy says Spinoza fully means both opposed conceptions because his fundamental logical principle generates both; interpretation must preserve their single dialectical ground and historic source in an ancient philosophical tradition.",Does not justify reducing the article to mature unit-idea terminology.
B188-08,1904,Logical and historical dual requirement,Lovejoy The Dialectic of Bruno and Spinoza p.173,A_direct_primary,"Lovejoy says Spinoza can be properly located in metaphysics only by understanding him both logically and historically.",Logical reconstruction and historical provenance remain distinct evidentiary tasks.
B188-09,1904,Philosophical moral from history,Lovejoy The Dialectic of Bruno and Spinoza p.173,A_direct_primary,"Lovejoy draws the moral that attempts to construct a genuinely absolute Absolute that is simultaneously inclusive of all reality are hopeless.",Historical genealogy and Lovejoy's own philosophical evaluation must remain distinguishable.
B188-10,1905,Contemporary corroboration,H. Heath Bawden review in Journal of Philosophy Psychology and Scientific Methods 2.9,A_contemporary_detailed_review,"Bawden independently characterizes Lovejoy's essay as an analysis of contradictory elements and quotes the single dialectical ground conclusion.",Now secondary corroboration rather than the controlling witness.
B188-11,1904,Return to Berkeley/Howison publication network,University of California commemorative-volume metadata,A_direct_contemporary_bibliographic_record,"Lovejoy contributed as a Washington University professor to a UC philosophy volume explicitly prepared for his former Berkeley teacher Howison.",Publication participation does not prove continuing doctrinal adherence to Howison.
