target_id,priority,country,repository,collection_or_resource,call_number_or_identifier,physical_or_document_locator,target_dates,persons,research_question,verification_status,what_is_directly_established,what_remains_unproved,recommended_request,source_url
P171-001,critical,US,Johns Hopkins University Special Collections,History of Ideas Club records,RG-15-120,minutes; correspondence; speaker notices; reconstructive letters and diaries,1933-1935; 1947; 1949-1951,Paul E. Dumont; Lois Whitney; Arthur O. Lovejoy; Owen Lattimore; William F. Albright,Find the documentary witness behind the 8 March 1934 India paper and surviving records of China and methodological presentations,official_collection_confirmed_specific_documents_unlocated,Club collection exists; published appendix says all 1933-34 minutes are missing and 1934-35 minutes survive only for April,Which original letters or diaries documented Dumont; who arranged the 1950 Lattimore paper; whether discussion notes survive,Request surviving 1933-35 reconstructive correspondence and speaker files; 1947 and 1950 meeting notices or discussion records,https://aspace.library.jhu.edu/repositories/3/resources/1029
P171-002,critical,US,Johns Hopkins University Special Collections,Arthur Oncken Lovejoy papers,MS-0038,Boxes 1-59; research notes; lectures; drafts; proofs; historical Wilson item index,1895-1936,Arthur O. Lovejoy,Identify material-page continuity from early Buddhist diagrams to the 1933 William James Lectures and 1936 Great Chain book,official_collection_and_series_confirmed_specific_folder_unlocated,Collection includes notes; lectures; notebooks; drafts; proofs; Daniel J. Wilson created an item-level index,Whether identifiable Great Chain working papers or diagrams survive,Request Wilson index entries for Great Chain; William James Lectures; plenitude; continuity; gradation; cosmography; diagrams,https://aspace.library.jhu.edu/repositories/3/resources/54
P171-003,critical,US,Johns Hopkins University Special Collections,Arthur Oncken Lovejoy papers,MS-0038,Box 77; Folder 11; attached item 10; archival description level File,date unexposed,Owen Lattimore; Arthur O. Lovejoy,Establish the date and subject of documented Lattimore-Lovejoy correspondence,official_exact_component_and_container_confirmed_contents_uninspected,A specifically named Owen Lattimore correspondence component has an exact physical locator,Document date; authorship direction; content; relation to 1950 McCarthy crisis or club talk,Request images and catalogue-level metadata for Box 77 Folder 11 attached item 10,https://aspace.library.jhu.edu/repositories/3/top_containers/16838?filter_fields%5B%5D=grand_child_container_u_sstr&filter_values%5B%5D=item+10
P171-004,critical,US,Johns Hopkins University Special Collections,Daniel J. Wilson transcriptions of Arthur O. Lovejoy letters,MS-0873,Box 1; barcode 31151034446595,1898-10-17; 1898-12-01; 1898-12-05,Arthur O. Lovejoy; Sylvain Lévi; Maurice Vernes; Jean Réville,Recover precise descriptions of Paris teachers and distinguish private reading from formal course enrollment,official_one_box_derivative_collection_confirmed_individual_letters_unlocated,A separate collection preserves derivative Lovejoy-letter transcriptions,Whether these particular letters appear; original custody; exact language,Request dated transcription headings; full relevant transcriptions; source notes and original-repository indications,https://aspace.library.jhu.edu/agents/people/66
P171-005,high,US,Johns Hopkins University Special Collections,George Boas papers,MS-0010,collection-level authority attachment; folders unexposed,1923-1935,George Boas; Paul E. Dumont; Lois Whitney; Arthur O. Lovejoy,Recover primitivism-project collaboration; India paper; publication planning and editorial hierarchy,official_collection_confirmed_no_target_item_located,Boas papers exist and are linked to Lovejoy authority,Specific Lovejoy; Dumont; Whitney; club; or publisher correspondence,Search finding aid and staff indexes for primitivism; Dumont; Whitney; Albright; 1934; 1935,https://aspace.library.jhu.edu/agents/people/66
P171-006,critical,US,Johns Hopkins University Special Collections,Walter Hines Page School of International Relations records,RG-08-010,Owen Lattimore director files; subject files; correspondence; personal-materials subgroup,1943-1953; especially 1950,Owen Lattimore; Arthur O. Lovejoy,Contextualize the 1950 China talk; McCarthy accusations; academic-freedom response; university networks,official_collection_and_subgroups_confirmed_club_document_unlocated,Finding aid identifies Lattimore correspondence and personal materials 1950-53,Whether club invitations or Lovejoy correspondence survive; exact sequence of university actions,Request subject and correspondence inventories for 1950-51; club invitations; academic freedom; Lovejoy,https://aspace.library.jhu.edu/repositories/3/resources/931
P171-007,high,US,Johns Hopkins University Special Collections,Academic Council of Homewood Faculties records,record group not extracted,council minutes; Lattimore personnel and academic-freedom discussions,1950-1952,Owen Lattimore; Joseph McCarthy,Check institutional chronology against the conflicting Page School finding aid,official_collection_confirmed_specific_minutes_unlocated,Finding aid explicitly dates accusation to March 1950 and Senate committee clearance to July 1950,Contemporary minute wording; attendees; decisions; relationship to club meeting,Request council discussions and correspondence dated March-November 1950 and July 1951-April 1952,https://aspace.library.jhu.edu/repositories/3/resources/848
P171-008,high,US,Johns Hopkins University Special Collections,Department of History records,record group unverified,Seminars; Clubs; Lectures; departmental correspondence,1933-1935; 1947-1951,Paul E. Dumont; Owen Lattimore; Don C. Allen,Locate parallel administrative traces of club talks and specialist appointments,official_collection_known_series_level_needs_confirmation,History department record collection exists,Exact series titles; date coverage; relevant club materials,Ask for seminar and club files mentioning Dumont; Whitney; Lattimore; Lovejoy; China,https://aspace.library.jhu.edu/repositories/3/resources/864
P171-009,high,US,Johns Hopkins University Special Collections,Department of Philosophy records,RG-04-120,administrative; curricular; correspondence files; date coverage requires confirmation,1930-1951,Arthur O. Lovejoy; George Boas; Victor Lowe,Locate club; academic-freedom; methodological; or speaker correspondence outside personal papers,official_record_group_known_target_dates_and_items_unverified,Departmental record group exists,Whether relevant series cover the 1930s; later administrative portions reportedly begin in 1942,Request inventory date spans before asking for 1934 or 1950 files; search Lovejoy and Lattimore,https://aspace.library.jhu.edu/agents/people/66
P171-010,critical,US,Johns Hopkins University Special Collections / university administration,presidential; personnel; Sanskrit or philology appointment records,collection and exact office unverified,Maurice Bloomfield succession; Dumont appointment; letters of recommendation,1928-1931,Paul-Émile Dumont; Sylvain Lévi; Louis de La Vallée Poussin; Maurice Bloomfield,Verify reported Lévi support for Dumont appointment from contemporary documents,specific_document_hypothesized_from_later_scholarly_biography,2014 university-hosted scholarly abstract reports Lévi support after Bloomfield death,Exact appointment date; rank; recommendation letters; appointing office,Ask which university office holds faculty appointment files and recommendation letters for Dumont and Bloomfield succession,https://dial.uclouvain.be/pr/boreal/en/object/boreal%3A158687
P171-011,critical,US,Folger Shakespeare Library,Lois Whitney first-edition monograph,PR448.P7 W5,title page; series page; contents; foreword pp. xi-xx,1934,Lois Whitney; Arthur O. Lovejoy,Read Lovejoy foreword directly; verify chronological/cultural distinction and framing of Whitney contribution,official_specific_copy_and_pagination_confirmed_text_uninspected,Catalog confirms author; 1934 publisher; series; xxi preliminaries,Exact foreword wording; attribution; series organization; relationship to 1935 volume,Request digital images of preliminaries and Lovejoy foreword pp. xi-xx,https://catalog.folger.edu/record/29721
P171-012,critical,US,University of Chicago Library / Modern Philology,Lois Whitney article and dissertation,DOI 10.1086/387511; thesis call number unresolved,Modern Philology 21.4 pp.337-378; original article footnote; university dissertation,1921; 1924,Lois Whitney,Establish exact thesis title/date; independent primitivism argument; chronology before club report,article_bibliographic_record_confirmed_original_page_and_thesis_locator_uninspected,1924 article title; pagination; DOI; indexed display attributes an unpublished 1921 University of Chicago thesis,Publisher-page text; thesis deposit; supervisor; precise argument; circulation,Request original article first page and footnote plus 1921 doctoral dissertation catalogue and dissertation,https://doi.org/10.1086/387511
P171-013,critical,US,Science & Society / Sage Journals,Four Letters on Ernest Nagel review of Great Chain,DOI 10.1177/003682373700100309,vol. 1 no. 3; pp.410-416,1937-07,Charles E. Trinkaus Jr.; Ernest Nagel; Arthur O. Lovejoy; V. J. McGill,Check exact language on social class; historical causation; evidentiary warrant; political interpretation,publisher_metadata_and_authorship_confirmed_full_text_paywalled,Date; title; collective authorship; pagination; secondary bibliography summarizes dispute,Exact quotations; argument sequence; authorship boundaries,Obtain licensed scans of the seven pages and transcribe each letter separately,https://doi.org/10.1177/003682373700100309
P171-014,high,US,Johns Hopkins University Press / Project MUSE,Studies in Intellectual History,chapter identifier 2450981,Dorothy Stimson; The History of Ideas Club; pp.174-196,1953,Dorothy Stimson; Arthur O. Lovejoy,Read woman-authored institutional retrospective against speaker register and later club mythology,chapter_bibliography_confirmed_text_temporarily_unretrieved,Chapter exists in 1953 volume and is attributed to Stimson,Text; sources; discussion of women; Asian talks; founder authority,Retrieve open-access chapter or request scans of pp.174-196,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450981
P171-015,high,US,Goucher College Special Collections,Dorothy Stimson and Lois Whitney institutional records,collections and call numbers unresolved,faculty files; correspondence; English department; presidential records,1923-1934,Dorothy Stimson; Lois Whitney; Marjorie Nicolson,Document women scholarly networks; club participation; Whitney monograph; Stimson leadership,institutional_roles_confirmed_specific_archival_components_unlocated,Club register identifies Goucher affiliations; Goucher identifies Stimson acting presidency in 1930,Surviving personnel; correspondence; meeting notices; collaboration records,Request finding aids for Whitney English department files; Stimson presidential papers; Hopkins club correspondence,https://www.goucher.edu/explore/who-we-are/history/gouchers-presidents/
P171-016,high,US,John Simon Guggenheim Memorial Foundation,1929 Fellowship records,Fellow records confirmed; application dossier access unknown,1929 applications; recommendation letters; fellowship project descriptions,1929,Lois Whitney; Dorothy Stimson,Recover project proposals and institutional sponsorship behind primitivism and club-network research,official_1929_fellowships_confirmed_dossiers_unlocated,Foundation lists Whitney and Stimson as 1929 fellows,Survival; accessibility; recommendation writers; proposal wording,Ask whether historical 1929 fellowship application files and referees are preserved and available,https://www.gf.org/fellows?page=2&swcfpc=1
P171-017,critical,US,Harvard University Archives,Charles Rockwell Lanman; Lecture before Greek D,HUC 8892.235,single titled lecture,1893-01-23,Charles Rockwell Lanman,Determine what a Sanskritist actually taught to a Greek class,official_exact_item_and_date_confirmed_contents_uninspected,Finding aid identifies Lanman lecture before Greek D on 23 January 1893,Subject; argument; whether Sanskrit or classics controversy is discussed,Request full digital reproduction of HUC 8892.235 and course identification for Greek D,https://hollisarchives.lib.harvard.edu/catalog/hua82020
P171-018,high,US,Harvard University Archives,Charles Rockwell Lanman papers,HUG 4510.xx; detailed subseries requires confirmation,teaching calendars; student lists; lecture materials; correspondence,1876-1898,Charles Rockwell Lanman; Arthur O. Lovejoy; Irving Babbitt; Paul Elmer More,Reconstruct Johns Hopkins-Harvard circuit and verify student-level evidence without assuming class overlap,official_collection_and_general_career_confirmed_target_items_unlocated,Lanman taught at Johns Hopkins before Harvard; his papers survive,Exact student roster; class attendance; marginal diagrams; Lovejoy interactions,Request calendars and student rosters ca.1890-98 and documentation of 1876-80 Hopkins teaching,https://hollisarchives.lib.harvard.edu/catalog/hua10004
P171-019,high,US,Harvard University Archives,History of Religions Club records,HUD 3454.xx,constitution; minutes; members; papers,1892-1898,Charles Rockwell Lanman; Crawford Howell Toy; Harvard religion scholars,Compare earlier club structure with later Hopkins club without presuming descent,official_collection_identifier_known_specific_transmission_document_unlocated,A distinct Harvard religion club existed before Hopkins club,Whether Lovejoy attended; whether personnel; rules; or practices transferred,Request earliest constitution; 1892-98 membership and minutes; Lovejoy mentions,https://hollisarchives.lib.harvard.edu/
P171-020,high,US,Harvard University Archives,Irving Babbitt papers,HUG 1185; subseries and access rules unverified,graduate study notes; Sanskrit/Pali; Paris; Lanman correspondence,1890-1920,Irving Babbitt; Charles Rockwell Lanman,Compare classics; French; Buddhist study; Chinese primitivism without implying direct transmission to Lovejoy,collection_reported_specific_items_and_permissions_unverified,Babbitt studied Sanskrit and Pali and later discussed Chinese primitivism,Surviving notes; access permissions; evidence of Lovejoy contact in 1890s,Request inventory and access conditions; search Lanman; EPHE; Pali; Rousseau; primitivism,https://hollisarchives.lib.harvard.edu/
P171-021,critical,FR,Archives nationales / EPHE Vth section,EPHE Section des sciences religieuses schooling records,FRAN_IR_061445; 20190568/185-368,exact carton for 1898-99 not yet resolved,1898-1899,Arthur O. Lovejoy; Léon Marillier; Marcel Mauss; Nathan Söderblom,Locate direct student; auditor; registration; and annual teaching evidence,official_series_confirmed_exact_year_carton_and_auditor_coverage_unverified,EPHE identifies schooling series and inventory identifier,Whether auditors were registered; exact 1898-99 cartons; Lovejoy entry,Obtain finding aid; search scolarité; auditeurs; inscriptions; 1898; 1899; identify exact carton before reproduction,https://www.ephe.psl.eu/
P171-022,high,FR,Archives nationales,Ministry administrative record on EPHE Vth section,F/17/13618,organization; course creation; personnel; student nominations,1889-1932; especially 1898-99,Léon Marillier; Arthur O. Lovejoy,Use ministry documentation as administrative control rather than presumed auditor register,exact_administrative_call_number_known_target_entry_unverified,Node reportedly includes section reports; personnel; student nominations; posters,Whether an unmatriculated auditor appears,Request detailed inventory sections for 1898-99; compare with institutional schooling files,https://francearchives.gouv.fr/
P171-023,high,FR,Archives nationales / EPHE digitization,EPHE archival digitization or related finding aid,FRAN_IR_061975,scope and contents unverified,1890-1905,Léon Marillier; Sylvain Lévi; Alfred Foucher,Determine whether complementary digitized institutional series covers relevant teaching records,finding_aid_identifier_lead_scope_unverified,A separately cited finding-aid identifier exists in project notes,Collection identity; dates; access; target names,Fetch the official instrument and verify its title and date coverage before treating it as relevant,https://francearchives.gouv.fr/
P171-024,high,FR,Archives nationales,Sylvain Lévi institutional/personnel records,F/17/2984 B; AB/XIX/3361,exact descriptions and subfiles unverified,1898-1931,Sylvain Lévi; Arthur O. Lovejoy; Paul-Émile Dumont,Find evidence for Paris private teaching; recommendation networks; Dumont appointment,call_numbers_existing_research_leads_component_content_unverified,Project has identified potentially relevant Lévi-related call-number leads,Whether either file contains correspondence or the relevant years,Verify official catalogue descriptions; request only exact folders mentioning Lévi; Baltimore; Dumont; Lovejoy,https://francearchives.gouv.fr/
P171-025,critical,GB,Royal Anthropological Institute,Léon Marillier manuscripts,MS 99/1; MS 99/2; MS 99/4; MS 99/11,four specifically catalogued handwritten files,ca.1888-1901,Léon Marillier; Nathan Söderblom; Arthur O. Lovejoy,Compare teacher-side bibliographies; sacrifice; survival; graphic layouts with student notebooks,official_exact_file_descriptions_confirmed_material_uninspected,RAI catalogue identifies survival; folklore; ritual sacrifice; bibliographical notes,Diagrams; relevant dates; Lovejoy mentions; identical excerpts or page techniques,Ask archivist for inventories; sample images; reproduction pricing; cite all four file numbers separately,https://therai.org.uk/archives-and-manuscripts/manuscript-contents/0099-marillier-l-ms-99/
P171-026,critical,SE,Uppsala University Library,Nathan Söderblom Paris study notebooks,exact local catalogue hierarchy recorded in prior project note,Paris kollegieböcker; staff inspected representative material,1894-1901,Nathan Söderblom; Léon Marillier; Antoine Meillet; Arthur O. Lovejoy,Compare peer-side notes; seminar extracts; bibliographic symbols; graphic procedures,official_staff_confirmed_notebooks_marillier_not_seen_in_quick_sample,Physical Paris notebooks survive; staff observed recurring Meillet and did not spot Marillier in brief inspection,Whether any Marillier notes; 1898-99 overlap; diagrams; Lovejoy references survive,Request year-specific images or notebook inventories; search Marillier; survivance; sacrifice; lundi; bibliographic marks,https://www.uu.se/en/library
P171-027,high,FR,BnF / Collège de France / associated custodians,Joseph Trumbull Stickney and Sylvain Lévi Bhagavadgita working manuscript,custody and call number unverified,original manuscript underlying 1938 publication and 2016 restoration,1890s-1938; 2016,Joseph Trumbull Stickney; Sylvain Lévi; Désirée Lévi; Silvia D’Intino,Locate the collaborative working object and distinguish student authorship; teacher revision; widow-mediated publication; modern editing,BnF_historical_account_confirms_manuscript_use_custody_unlocated,BnF identifies Stickney authorship; Lévi revision; Désirée Lévi publication role; D’Intino manuscript-based 2016 edition,Current location; marginal hands; Lovejoy references; exact composition dates,Ask 2016 editor and institutional repositories for manuscript shelfmark; provenance; availability,https://heritage.bnf.fr/france-southasia/reception-bhagava
P171-028,high,US,Grinnell College Special Collections and Archives,Laetitia Moon Conard research and family papers,exact call numbers unresolved,Henry S. Conard letter dated 1954-11-08; campus newspapers; socialist speeches; faculty records,1900-1954,Laetitia Moon Conard; Henry S. Conard; Lois Whitney,Recover scholarly; political; employment and possible overlapping institutional traces without assuming personal encounter,official_department_history_cites_specific_materials_collection_locators_unresolved,Conard doctorate; 1932 socialist candidacy; lecturer status; absence of regular salary,Original archival shelfmarks; compensation details; French correspondence; Whitney contact,Request cited 1954 letter; 1932 speeches; 1933 campus interviews; retirement notice; faculty ledgers; Conard correspondence,https://www.grinnell.edu/academics/majors-concentrations/sociology/sociology-department-history
P171-029,critical,US,Southern Illinois University institutional repository,The Open Court; Laetitia M. Conard; Leon Marillier,vol.1902 issue 1 article 6,article full text and original print pagination,1902,Laetitia Moon Conard; Léon Marillier,Read direct obituary evidence for the French-American collaboration and political or scholarly description,official_article_record_confirmed_download_inaccessible,Conard authorship; Marillier subject; original 1902 issue; misleading automatic 2010 repository citation,Exact obituary wording; length; nature of personal relationship,Ask repository or holding library for article PDF and print bibliographic details,https://opensiuc.lib.siu.edu/ocj/vol1902/iss1/6/
P171-030,high,US,University of Chicago Library Special Collections,Laetitia Moon Conard doctoral records and dissertation,call number unresolved,comparative religions dissertation; graduate registration; advisors,ca.1890-1901,Laetitia Moon Conard,Establish disciplinary formation and original research archive,doctoral_training_reported_in_official_Grinnell_history_original_record_unlocated,Grinnell states Conard earned Chicago doctorate involving comparative religion and sociology,Exact degree date; title; advisor; dissertation text; research fieldwork,Request registrar dissertation index and special-collections call number for Laetitia Moon Conard or Laetitia Moon,https://www.lib.uchicago.edu/scrc/
P171-031,high,US,Smith College Special Collections,Laetitia Moon alumna records,call number unresolved,graduate degree; alumni files; correspondence,late nineteenth century,Laetitia Moon Conard,Recover educational chronology and possible connections to later women scholarly networks,Smith_degree_reported_in_official_Grinnell_history_archival_item_unlocated,Grinnell history identifies a Smith masters degree,Exact matriculation date; advisors; correspondence,Request alumna records under Laetitia Moon and Laetitia Moon Conard,https://libraries.smith.edu/special-collections
