source_file,source_batch,source_row,source_field_count,delta_action,lead_id,country,repository,collection_title,collection_id,lead_basis,person_or_network_pivot,expected_material,primary_presence_status,component_locator_status,source_url,next_query,notes
archive_index/lovejoy_global_archive_leads_batch90_delta.csv,90,2,14,update_existing,GAL0017,US,Johns Hopkins University Ferdinand Hamburger Jr. Archives,,,Wilson 1981 holding lead upgraded by BRACERS record 121122,Arthur O. Lovejoy / Bertrand Russell,Lovejoy letter on proposed Russell lecture,specialized_correspondence_catalogue_names_primary_custody,specific_document_confirmed_date_recipient_container_pending,https://bracers.mcmaster.ca/bracers-notes?page=1211,"recover the original Hamburger Archives record for BRACERS 121122: date, addressee, collection identifier, box/folder/item","BRACERS explicitly states that the Lovejoy letter is from the Ferdinand Hamburger Jr. Archives at Johns Hopkins and summarizes Lovejoy's position: Russell should lecture on technical philosophy, not war. This resolves Wilson's repository-level lead to one specific document, but BRACERS does not expose the current JHU locator in the indexed note."
archive_index/lovejoy_global_archive_leads_batch90_delta.csv,90,3,14,add,GAL0025,US,Hoover Institution Library & Archives,Sidney Hook papers,90003,scholarly exact item citation plus official primary collection confirmation,Sidney Hook / American Philosophical Association,Hook letter to Arthur Lovejoy,secondary_exact_item_citation_primary_collection_confirmed,box_folder_date_exact_in_secondary_child_not_surfaced_in_OAC,https://oac.cdlib.org/,request Sidney Hook Papers Box 121 Folder 4 and verify the 3 Nov 1949 Lovejoy letter against the original; search adjacent APA lobbying material,"Published archival research cites Sidney Hook to Arthur Lovejoy, 3 Nov 1949, Hook Papers, Box 121 Folder 4, in the context of Hook's lobbying for the American Philosophical Association. Hoover's official collection guide confirms the Sidney Hook Papers but the public OAC index does not currently surface Lovejoy by name, so item identity remains secondary-exact pending primary inspection."
archive_index/lovejoy_global_archive_leads_batch90_delta.csv,90,4,14,add,GAL0026,US,New York University Tamiment Library and Robert F. Wagner Labor Archives,American Committee for Cultural Freedom Records,TAM.023,official exact folder plus scholarly exact Lovejoy item citation,American Committee for Cultural Freedom / academic freedom,academic-freedom statement and possible direct L correspondence,primary_folder_confirmed_secondary_specific_Lovejoy_item,Box8_Folder1_specific_item_secondary_identification_plus_Box4_Folder4_direct_corr_candidate,https://findingaids.library.nyu.edu/tamwag/tam_023/all/,inspect Box 8 Folder 1 for the 13 Jul 1953 'In Defense of Academic Autonomy' item and signatures/endorsements; then inspect Box 4 Folder 4 Correspondence L 1953-1954 for direct Lovejoy correspondence,"NYU's official finding aid gives Box 8 Folder 1 'Academic Freedom Statement, 1953' and Box 4 Folder 4 'Correspondence: L, 1953-1954'. Published research identifies an ACCF press release 'In Defense of Academic Autonomy', 13 Jul 1953, in Box 8 Folder 1 and states it was endorsed by Hook, Lovejoy, George Counts and Paul Hays. The item-level Lovejoy relation must still be verified in the folder itself."
archive_index/lovejoy_global_archive_leads_batch95_delta.csv,95,2,14,update_existing,GAL0016,US,George Washington University Special Collections Research Center,American Association of University Professors Papers,,Tiede exact case-file citations plus current AAUP archive page,Committee A / University of Montana / wartime academic freedom,investigation correspondence and historical files,official_archive_presence_plus_secondary_exact_case_file,Montana_File_specific_documents_confirmed_current_call_number_box_folder_pending,https://www.aaup.org/about/history/aaup-archives,recover the current GWU collection identifier and physical locator for Committee A Case Files 'Montana File'; separately locate Historical Files containing Young to Ronzone 20 Oct 1917,"Batch95 upgrades the broad GWU lead: Tiede specifically cites Stewart to Lovejoy 27 Oct 1915, Lovejoy to Marx 6 Sep 1916, Lovejoy's unsent committee letter 30 Oct 1916, and Lovejoy to Seligman 15 Nov 1916 in the Montana File. This is now promoted as GLA0036 at case-file presence level."
archive_index/lovejoy_global_archive_leads_batch95_delta.csv,95,3,14,add,GAL0027,US,Purdue University Archives and Special Collections,Edward C. Elliott papers,UA 50,Tiede exact dated citations plus official Purdue finding aid,Edward C. Elliott / Montana investigation,correspondence,secondary_exact_documents_primary_collection_confirmed,one_document_box8_others_container_pending,https://archives.lib.purdue.edu/repositories/2/resources/1107,inspect Box 8 around 9 Oct 1915; then identify the other 1915-16 Lovejoy/Elliott letters by date/direction,Promoted to GLA0031. Preserve the distinction between the one explicitly Box-8-cited item and the remaining dated citations.
archive_index/lovejoy_global_archive_leads_batch95_delta.csv,95,4,14,add,GAL0028,US,Library of Congress Manuscript Division,William Edward Dodd Papers,MSS18697,Gruber exact dated item citation plus current LoC finding aid,William E. Dodd / WWI intellectual mobilization,Lovejoy letter,secondary_exact_document_primary_collection_confirmed,component_container_pending,https://findingaids.loc.gov/repositories/19/resources/4521,search General Correspondence for Lovejoy and inspect 12 July 1915 date neighborhood; recover container/folder,Promoted to GLA0032. The item date/direction is specific in Gruber; LoC primary confirms collection and series only.
archive_index/lovejoy_global_archive_leads_batch95_delta.csv,95,5,14,add,GAL0029,US,University of Oklahoma Libraries Western History Collections,William A. Schaper Collection,,Gruber exact reciprocal dated citations,William A. Schaper / Minnesota dismissal,reciprocal Lovejoy-Schaper letters,secondary_exact_documents_official_repository_confirmed,current_collection_id_and_container_pending,https://libraries.ou.edu/content/western-history-collections,"request/search William A. Schaper Collection for 4 and 11 Dec 1917; recover call number, box/folder and image/transcription",Promoted to GLA0033. This is a two-direction reciprocal-fonds target with unusually exact dates.
archive_index/lovejoy_global_archive_leads_batch95_delta.csv,95,6,14,add,GAL0030,US,University of Minnesota Archives,Presidents' Papers,,Gruber exact dated citations,M. L. Burton / Schaper case,Lovejoy letters,secondary_exact_documents_official_repository_confirmed,modern_collection_id_series_box_folder_pending,https://www.lib.umn.edu/collections/special/uarchives,"resolve the historical 'Presidents’ Papers' into the current UMN collection/series and retrieve Lovejoy to Burton 8 Nov, 4 Dec, 18 Dec 1917",Promoted to GLA0034. Do not merge with Schaper Case Papers unless the current finding aid proves archival identity.
archive_index/lovejoy_global_archive_leads_batch95_delta.csv,95,7,14,add,GAL0031,US,Cornell University Library Division of Rare and Manuscript Collections,American Association of University Professors records,11-8-mf.33,Tiede exact folder/item citations plus Cornell official collection record,AAUP founding investigations / Brewster / Montana,Lovejoy correspondence and committee files,primary_collection_confirmed_secondary_exact_folder_items,folder_titles_exact_physical_reel_or_box_pending,https://aspace3-test.library.cornell.edu/repositories/resources?field%5B%5D=title&filter_fields%5B%5D=published_agents&filter_values%5B%5D=American+Association+of+University+Professors&from_year%5B%5D=&limit=resource&op%5B%5D=&q%5B%5D=%2A&sort=title_sort+asc&to_year%5B%5D=,"map 'Brewster Case', 'University of Montana, Folder 2', 'Folder 3', and chronological 1915 files onto microfilm reel/container numbers; extract every Lovejoy item","Promoted to GLA0035. This collection is a high-yield organization-side manifestation of material otherwise distributed among Lovejoy, Elliott, Seligman and recipient fonds."
archive_index/lovejoy_global_archive_leads_batch96_delta.csv,96,2,14,add,GAL0032,US,Columbia University Rare Book and Manuscript Library,"Edwin Robert Anderson Seligman Papers, 1750-1939",,Tiede exact folder/item citations plus Columbia primary collection confirmation,E. R. A. Seligman / Utah and early AAUP investigations,Lovejoy correspondence and academic-freedom case material,secondary_exact_documents_primary_collection_confirmed,internal_folder_titles_exact_box_container_pending,https://anurao.sandbox.library.columbia.edu/items/show/6,"recover current RBML finding aid/container map for 'Cataloged Correspondence', 'Uncataloged Correspondence, 1913-14', and 'Academic Freedom'; inspect the five Lovejoy-related 1915 items first","Promoted to GLA0037. High yield because one fonds preserves Lovejoy communications with Dewey, Seligman and Van Cott across the Utah/early-investigation phase."
