event_date,event_year,witness_year,actor,action_or_document,location_or_locus,source_type,evidence_grade,political_or_methodological_relevance,personal_attribution_limit,source_url,cutoff_status
1873-10-10,1873,1982,Arthur O. Lovejoy; Wallace W. Lovejoy; Sarah Agnes Oncken,Birth in Berlin and maternal Oncken surname,Berlin; Wilson introduction xiv,scholarly biography,D_scholarly_retrospective,German-American family and confessional background supply a research lead,Maternal grandfather identification and political influence require independent family records,https://www.scribd.com/document/940006529/Arthur-O-Lovejoy-an-Annotated-Bibliography-Daniel-J-Wilson-f05ba590096c5ea6f7f8956ea9f51956-Anna-s-Archive,pre1899_background
1891,1891,1982,Arthur O. Lovejoy,"Graduates Germantown Academy, moves to Oakland, and enters University of California",Germantown; Oakland; Berkeley,scholarly biography based on research,D_scholarly_retrospective,"Places Lovejoy personally in the Bay Area before the depression, strike, and settlement expansion",Precise address and daily movements are not established,https://www.scribd.com/document/940006529/Arthur-O-Lovejoy-an-Annotated-Bibliography-Daniel-J-Wilson-f05ba590096c5ea6f7f8956ea9f51956-Anna-s-Archive,pre1899_personal_action
1891-1895,1891-1895,1982,Arthur O. Lovejoy; Wallace W. Lovejoy,Rejects father's intended evangelical or ministerial career while pursuing philosophy and social service,Berkeley; Oakland,scholarly biography and cited family correspondence,D_scholarly_retrospective,Reassigns religious service obligations to university philosophy and practical social reform,Precise wording and timing require contemporary letters,https://www.scribd.com/document/940006529/Arthur-O-Lovejoy-an-Annotated-Bibliography-Daniel-J-Wilson-f05ba590096c5ea6f7f8956ea9f51956-Anna-s-Archive,pre1899_personal_action
"1891-1895, before graduation",1891-1895,1982,Arthur O. Lovejoy,Participates in the work of a local social settlement while a Berkeley undergraduate,Bay Area; particular institution unidentified,archival biographer's retrospective account,D_scholarly_retrospective,Earliest person-specific evidence of sustained social and political action,"No named house, founding role, roster, duties, ethnic constituency, or labor position is established",https://www.scribd.com/document/940006529/Arthur-O-Lovejoy-an-Annotated-Bibliography-Daniel-J-Wilson-f05ba590096c5ea6f7f8956ea9f51956-Anna-s-Archive,pre1899_personal_action
"1891-1895, before graduation",1891-1895,modern,Arthur O. Lovejoy,Works with settlements while a University of California student,California,official departmental biographical history,D_scholarly_retrospective,Corroborates that social service precedes Harvard and the 1898 Buddhist article,May depend on Wilson and therefore is not demonstrably independent contemporary testimony,https://philosophy.jhu.edu/about/early-hopkins-philosophers/lovejoy/,pre1899_personal_action
1893-1895,1893-1895,2014,Oakland working-class neighborhoods,Economic depression shapes settlement and charitable work,Oakland Point; West Oakland,scholarly urban history,E_context_only,Provides class and industrial context for the local settlement movement,No evidence establishes Lovejoy's views on capitalism or specific relief activities,https://academic.oup.com/chicago-scholarship-online/book/17625/chapter/175275135,pre1899_context_only
1894,1894,1894,National railroad strike participants,Contemporary image documents the great railroad strike,United States; Library of Congress image,contemporary illustrated visual record,B_contemporaneous_institutional,Confirms the national labor conflict immediately preceding Oakland settlement expansion,"Image does not establish Lovejoy's attendance, support, or a particular Oakland incident",https://www.loc.gov/pictures/item/2013647204/,pre1899_context_only
1894,1894,2014,Elizabeth Watt; West Oakland Free Kindergarten,Employs a settlement worker before the later rented-cottage phase,West Oakland,scholarly monograph based on local records,E_context_only,Creates a chronologically possible institutional route for Berkeley-era settlement participation,Lovejoy is not named and this is not the Manse Polytechnic,https://academic.oup.com/chicago-scholarship-online/book/17625/chapter/175275135,pre1899_context_only
1895,1895,2014,Frank Hinckley; Mary Norton,Open the Manse Polytechnic in a working-class Oakland neighborhood,Oakland Point,scholarly monograph based on period records,E_context_only,"Links one candidate institution to industrial justice, working families, and a recent railroad strike",No primary roster links Lovejoy to this institution,https://academic.oup.com/chicago-scholarship-online/book/17625/chapter/175275135,pre1899_context_only
"1895-02, exact month unverified",1895,1899,Manse Polytechnic; Frank Hinckley; Mary Norton,Later report reportedly dates the institution's opening to February 1895,Oakland; 1899 annual-report reference,local-history summary of an uninspected annual report,C_archival_item_cited_not_examined,Potentially overlaps with Lovejoy's final Berkeley term,February and Lovejoy's participation require checking the cited annual report,https://localwiki.org/oakland/Oakland_Social_Settlement,pre1899_context_only
