crosswalk_id,repository,collection_or_accession,date_range,documentary_domain,filing_or_arrangement,relation_to_RU7091,Lovejoy_status,source_status,methodological_use,next_action,source_url
SSX109001,Smithsonian Institution Archives,RU7091 Science Service Records,1902-1965,"editorial correspondence; organization records; business records; manuscripts; radio; selected morgue files","multiple series; annual alphabetical correspondence in Series 5; topical morgue in Series 7","central record unit but not complete institutional archive","explicit Lovejoy folder-level correspondence presence in 1927, 1928, 1929, 1940; other years candidate/gap states",official_finding_aid,"baseline custody domain and annual filing-scheme control","inspect exact Lovejoy/candidate folders and preservation notes",https://siarchives.si.edu/collections/siris_arc_217249
SSX109002,Smithsonian Institution Archives,Accession 90-105 Science Service Records,1920s-1970s,"biographical morgue; portraits; articles; press releases; clippings; papers; obituaries and topical reference material","Library of Congress-derived categories plus named biographical/portrait folders; not strict order","major portion of biographical morgue separated from RU7091","explicit Lovejoy subject presence in Box13 Portraits Loo-Loz; item count/form still pending",official_finding_aid,"tests non-correspondence Lovejoy manifestations and institutional split custody","inspect Box13 Portraits Loo-Loz; identify exact object(s), captions, image/local numbers, dates and provenance",https://siarchives.si.edu/collections/siris_arc_254447
SSX109003,Smithsonian Institution Archives,Accession 90-068 Science Service Records,1920s-1970s,"topical informational morgue","Library of Congress classification including philosophy/religion/metaphysics/psychology classes","large topical morgue separated from RU7091","Lovejoy presence unverified",official_finding_aid,"topic-derived derivative search only after primary Lovejoy correspondence establishes actual subject","defer until item-level Lovejoy correspondence provides topics",https://siarchives.si.edu/collections/siris_arc_254432
SSX109004,Smithsonian Institution Archives,Accession 01-243 Science Service Records,circa 1926-1967,"paleontology and paleobiology information files","Library of Congress QE/QH topical folders","related Science Service morgue accession outside RU7091","no Lovejoy-specific hit; not presently a Lovejoy target",official_finding_aid,"demonstrates institutional morgue fragmentation by subject and accession","retain as custody-control; search only if primary Lovejoy documents justify paleontology/evolution topic",https://siarchives.si.edu/collections/siris_arc_229192
SSX109005,Smithsonian Institution Archives,Accession 93-019 Science Service Records,1954-1968,"computer-related morgue files; articles, press releases and related materials","Library of Congress topical headings","related morgue accession outside RU7091","no Lovejoy-specific hit; chronology overlaps late candidate run",official_finding_aid,"shows postwar topical material can survive outside annual correspondence series","do not treat as Lovejoy lead without item-derived computer topic",https://siarchives.si.edu/collections/siris_arc_254140
SSX109006,Smithsonian Institution Archives,Accession 97-020 Science Service Records,circa 1960-1965,"Watson Davis records concerning 35th anniversary of Scopes Trial; correspondence, photographs and clippings","small topical/event accession","separate Davis-origin/event custody related to Science Service","Lovejoy presence unverified",official_finding_aid,"demonstrates staff/event files can be accessioned separately from RU7091","search only if late Lovejoy items connect to Scopes/evolution commemoration",https://siarchives.si.edu/collections/siris_arc_251952
SSX109007,Smithsonian Institution Archives,Accession 01-122 Science Service Records,1961-1975,"oral-contraceptive research and news files","topical files","related late Science Service accession outside RU7091","no Lovejoy-specific hit and no present topic basis",official_finding_aid,"negative scope control against indiscriminate related-accession searching","exclude from active Lovejoy retrieval unless primary evidence supplies relevant topic",https://siarchives.si.edu/collections/siris_arc_229190
SSX109008,Smithsonian Institution Archives,Accession 06-134 Science Service Records,1921-1974,"modern-physics research/news morgue; correspondence, releases, clippings, photographs and story copies","Library of Congress topical morgue","related files separated from RU7091; finding aid explicitly notes some 1930s Daily Mail Report issues here are not preserved in RU7091 Series 8","Lovejoy presence unverified",official_finding_aid,"critical preservation precedent: absence from RU7091 can coexist with survival of related institutional material in another accession","use as model when tracing 1941/1948/1949 gaps; do not claim displaced Lovejoy items without match",https://siarchives.si.edu/collections/siris_arc_259497
SSX109009,Smithsonian Institution Archives,Accession 06-135 Science Service Records,1905-1973,"engineering research/news morgue; photographs, captions, press releases and editorial material","Library of Congress topical morgue","related Science Service files outside RU7091; guide explicitly points to other Science Service morgue accessions and museum curatorial collections","Lovejoy presence unverified",official_finding_aid,"supports repository-wide search architecture beyond one record unit","retain as structural control; topic-search only after primary item evidence",https://siarchives.si.edu/collections/siris_arc_259498
SSX109010,Smithsonian Institution Archives,Science Service archive system,various,"parallel business/financial; editorial correspondence; biographical morgue; topical morgue","parallel office filing systems described by Smithsonian archival historian Marcel Chotkowski LaFollette","explains why records for one historical activity may be distributed across multiple custody domains","Lovejoy already present in at least editorial correspondence and biographical portrait domains",official_SIA_blog_secondary_to_records,"formalizes split-custody search rule; one event may have traces in several systems without being duplicate objects","for each inspected Lovejoy item identify documentary function before searching cross-system counterparts",https://siarchives.si.edu/blog/science-service-close
