stage,evidence_object,L1_witness_or_comparison,L2_relation_or_class,L3_function_or_mechanism,L4_genealogy_or_transmission,recombination_or_survival,primary_anchor,claim_status
004_upadana_karma,textual terms and causal propositions,"Hardy p394 and canonical passages admitted as witnesses","upadana and karma occupy same rebirth problem field but are not thereby semantically identical","Lovejoy allocates fact of continued existence/rebirth per se to upadana and manner/particular condition to karma","functional proximity does not itself establish Sankhya/adrshta genealogy; historical allocation separately argued",NA,"MS38 004 p33/MS p97; Lovejoy JAOS 1898",confirmed_microgenesis
004_upadisesa,canonical passages and competing lexical histories,"contradictory canonical witnesses retained rather than suppressed","usage supports ethical-residue reading despite etymological dispute","ethical condition can be reconstructed independently of settled derivation","scribal/etymological/textual genealogy remains not finally settled",NA,"MS38 004 pp55-71; Lovejoy JAOS 1898",confirmed_lower_level_result_higher_level_open
005_future_life,ethnographic reports,"reporter/date/missionary-contact conditions qualify testimony","differentiated afterlife destinations remain valid comparison","determinant may be moral desert ritual taboo social relation manner of death or borrowed moralization","indigenous moral-eschtological stage and borrowing require additional warrant",mixed indigenous/borrowed layers possible,"MS38 005 pp16-28",confirmed_archive
005_sacrifice_cannibalism,rites acts and reports,"sources weighted and uncertain testimony marked","ritual killing/cannibalism may remain formal comparative cases","provision propitiation communion magic revenge affection hunger and transferable efficacy separated","ceremoniality or repeated analogy does not prove common sacramental origin",syncretism may combine originally distinct rites,"MS38 005 pp61-76 and 106-119",confirmed_archive
1902_Buddhism_Plato,philosophical doctrines,"cross-cultural comparison explicitly admitted","Lovejoy identifies closely related logical essence while preserving very different form","self-sufficiency/cessation of volitional outreach supplies compared logical motive","no borrowing claim follows from this comparison",NA,"Religion and the Time-Process pp444-445",confirmed_primary
1902_Aristotle_Vedanta,philosophical conceptions,"affinity explicitly described as obvious","similarity is accepted as real comparative relation","classical perfectionist logic internally generates Aristotelian theology","Oriental influence rejected as gratuitous/unnecessary because internal Platonic genealogy suffices",internal genealogy is preferred over unnecessary diffusion,"Religion and the Time-Process pp446-447",confirmed_primary_key_case
1902_Neoplatonism,system temperament rhetoric and concepts,"mystical tone acknowledged as observable feature","temperament/rhetorical difference separated from logical import","logical methods and determinative presuppositions traced within Greek conceptual sequence","external Oriental influence not needed for core logical structure; emanationism explicitly excepted",system can contain an exceptional element without changing genealogy of every component,"Religion and the Time-Process p447",confirmed_primary
1902_Christianity,historical religious system,"Jewish and Hellenic strands independently recognized","developed Christianity treated as conjunction rather than indivisible unity","Jewish prophetism supports meaningful temporal history while Greek perfectionism devalues becoming","different components receive different historical provenances",heterogeneous inheritances combine and remain in tension,"Religion and the Time-Process pp447-449",confirmed_primary
1902_Royce,modern philosophical system,"two incompatible logical motives independently identified","both motives belong to one present system without becoming identical","concrete-universal motive and timeless-perfection motive perform opposed logical work","one element linked to modern reflection; other to ancient metaphysical inheritance","ancient perfectionist presupposition explicitly survives inside modern system; result called warring categories","Religion and the Time-Process pp469-470",confirmed_primary
cross_stage_model,inference syntax,"evidence/comparison first qualifies","relation/classification retained at lower burden","function/mechanism/logical import reconstructed separately","genealogy borrowing priority or dependence carries independent higher burden","later configurations may recombine inherited elements without erasing their distinct provenance","Batches 70 73 75",strong_cross_stage_reconstruction
