date_or_range,evidence_class,scope,item_or_person,source_or_repository,status,significance,next_action
1900,primary_text_locator,magic_mana,Marillier Religion searchable electronic reproduction,"La Grande Encyclopédie XXVIII pp341-364; Cosmovisions searchable reproduction; IA lagrandeencyclop28dref facsimile",text_level_confirmed_facsimile_pending,"Searchable reproduction exposes detailed mana/taboo/magic/sacrifice argument; use for text discovery while exact wording/page citation awaits facsimile collation","Map passages to exact printed pages and verify against DjVu/IA facsimile before publication quotation"
1900,primary_text_locator,magic_mana,Marillier common dispersed mana,"Marillier Religion electronic reproduction",confirmed_text_locator,"Marillier describes 'un même mana, d'une même force magique et divine, de qualité partout identique, éparse dans les choses'; direct conceptual bridge to Lovejoy 1906 diffused/transferable efficacy","Verify exact page in facsimile; compare wording to Söderblom 1901 and Lovejoy 1906"
1900,primary_text_locator,taboo,Marillier sacred/impure contagious force,"Marillier Religion electronic reproduction",confirmed_text_locator,"Sacred/impure persons and objects are reservoirs of dangerous/fecundating force; taboo/contact transmits power; sacredness explicitly not moral perfection. Strong control for 005 pp14-20 and 112-117","Locate exact printed pages; compare to 1896 Tabou and 1901 Notes sur la coutume"
1900,primary_text_locator,sacrifice,Marillier primitive sacrifice as magical force release,"Marillier Religion electronic reproduction",confirmed_text_locator,"Primitive sacrifice releases force by blood effusion intensified through ritual/incantation and acts on gods to constrain them; substantially verifies Thomas 1911 relay","Facsimile-verify exact text and page; compare to 005 p64, pp84-105"
1900,primary_text_locator,sacrifice,Marillier mechanical versus psychological-moral efficacy,"Marillier Religion electronic reproduction",confirmed_text_locator,"Transition from magical to alimentary/propitiatory sacrifice explicitly described as no longer a 'moyen mécanique' but psychological/moral; deity accepts offering whereas magical sacrifice is undergone by deity. Major prehistory for 005 quasi-mechanical wording","Facsimile-verify and map exact page; avoid claiming direct quotation uptake by Lovejoy without evidence"
1900,primary_text_locator,sacrifice,Marillier blood restores life and transfers power,"Marillier Religion electronic reproduction",confirmed_text_locator,"Ancestor blood rites infuse new life; sacred flesh/blood and contact carry efficacy. Strong mechanism continuity with 005 blood/body-part transfer and fecundative rites","Build source/case-order concordance after page verification"
1900,primary_text_locator,method,Marillier communion as historically transformed mechanism,"Marillier Religion electronic reproduction",confirmed_text_locator,"Common dispersed mana gives way to transcendent deities; communal sacrifice changes from kinship/alliance production to mystical communion. Supports 005 insistence that later ritual meaning cannot be projected backward","Compare with 1897-98 totemism articles and 005 p117"
1900,primary_text_locator,expiation,Marillier expiatory sacrifice decomposed by mechanism,"Marillier Religion electronic reproduction",confirmed_text_locator,"Distinguishes divine appeasement, magical expulsion/scapegoat, communal danger and mixed agrarian/fecundative/communial functions; some rites explicitly magical operations not symbols of moral lustration","Map against 005 expiatory/purification/propitiation distinctions"
1900,primary_text_locator,moralization,Marillier ritual-to-moral transition,"Marillier Religion electronic reproduction",confirmed_text_locator,"Reciprocal divine-human obligations become guilt as relations moralize; direct counterpart to 005 naturalistic/ritual/social/strictly moral determinant sequence","Facsimile-verify; compare to Marillier 1901 taboo/moral-obligation text when recovered"
1909,near_contemporary_control,magic_mana,Doutté cites Marillier Religion pp350-351,"Edmond Doutté Magie et religion dans l'Afrique du Nord (1909)",confirmed_relay,"Doutté explicitly points to Marillier Religion pp350-351 in discussion of magical force, helping locate mana/magic passage in facsimile","Use as pagination locator; still verify Marillier primary directly"
