locus,witness,status,claim_or_operation,relation_to_1897_third_edition,research_consequence
"p.100 n.1","Oldenberg, Buddha, 2nd ed. 1890","PRIMARY_RECOVERED","Real Sāṁkhya/Buddhist echoes admitted, but treated as no more than the familiar family resemblance of Indian philosophical systems; stronger derivation rejected","Pre-dates Jacobi controversy; baseline inferential rule","Resemblance versus demonstrated filiation is not a post-1896 invention"
"p.226 n.2","Oldenberg, Buddha, 2nd ed. 1890","PRIMARY_RECOVERED","Fourfold Sāṁkhya/Yoga liberation schema compared with Four Noble Truths; direction of borrowing said not establishable; Buddhist formulation treated as its own","Pre-dates third-edition appendix","Specific structural parallel can be accepted without transmission claim"
"p.262 n.1","Oldenberg, Buddha, 2nd ed. 1890","PRIMARY_RECOVERED","Sāṁkhya avidyā/aviveka described as non-discrimination of soul and matter causing bondage","Likely baseline retained in enlarged edition","Oldenberg already maps category-function parallels before Jacobi"
"p.264 n.2","Oldenberg, Buddha, 2nd ed. 1890","PRIMARY_RECOVERED","Beginningless Sāṁkhya chain compared to seed/plant; aviveka impresses vāsanā and reproduces non-discrimination in later existence","Baseline structural comparison","Rejects caricature of Oldenberg as denying meaningful parallels"
"p.266 n.1","Oldenberg, Buddha, 2nd ed. 1890","PRIMARY_RECOVERED","Asks whether an authentic/near-authentic older doctrinal form may be preserved in Sāṁkhya; saṃskāra/vāsanā survive and seed renewed bondage","Baseline genealogical possibility, without one-way derivation","Oldenberg permits preservation/common antecedent hypotheses under constrained warrant"
"p.268","Oldenberg, Buddha, 2nd ed. 1890","PRIMARY_RECOVERED","Saṅkhāras deciding rebirth described as inner shaping of mind, sustaining renewed existence like fuel sustains flame","Substantially same passage Jacobi cites at 3rd ed p.286f","Jacobi's 1898 critique here targets a pre-existing main-text explanation, not a new 1897 appendix claim"
"p.286f","Oldenberg, Buddha, 3rd ed. 1897 as quoted by Jacobi 1898","PRIMARY_MEDIATED_BY_JACOBI_PENDING_DIRECT_1897","Same inner-shaping/rebirth account of saṅkhāra","Pagination shifted in enlarged edition; direct line-level diff pending","Separate inherited main text from genuinely new third-edition material"
"p.448","Oldenberg, Buddha, 3rd ed. 1897 as quoted by Jacobi 1898","PRIMARY_MEDIATED_BY_JACOBI_PENDING_DIRECT_1897","Oldenberg does not deny close relation of Sāṁkhya avidyā/saṃskāra concepts but denies same developmental sequence","Appears in new terminal Sāṁkhya appendix pp443-455","Third edition sharpens how resemblance fails to prove genealogical sequence"
"p.450","Oldenberg, Buddha, 3rd ed. 1897 as reported by Jacobi 1898","PRIMARY_MEDIATED_BY_JACOBI_PENDING_DIRECT_1897","Characterizes stronger dependence reading as making Buddhism an Abklatsch of Sāṁkhya","Controversy-specific polemical appendix","Jacobi explicitly rejects this characterization and reframes dependence as growth within Sāṁkhya ideas"
"pp.451-452","Oldenberg, Buddha, 3rd ed. 1897 as quoted/reported by Jacobi 1898","PRIMARY_MEDIATED_BY_JACOBI_PENDING_DIRECT_1897","Attacks use of Aśvaghoṣa/Arāḍa as early Sāṁkhya evidence on source-critical/canonical grounds and poetic freedom","Controversy-specific source criticism absent as terminal appendix in 1890","Key new 1897 delta likely lies in source chronology and witness quality, not rejection of all conceptual parallels"
"p.273 note","Oldenberg, Buddha, 3rd ed. 1897 cited by Jacobi 1898","TEXT_PENDING","Jacobi directs Senart's upādāna=upādānakkhandha claim to this note","Likely post-1896 insertion; cannot exist in 1890 response to Senart","Highest page-level test for how much of 1898 semantic rebuttal is already present in 1897"
