priority	date	sender_or_creator	recipient_or_document	archive_locator	proposition_target	requested_output	evidence_status
1	1967-09-11	J. G. A. Pocock	Melvin Richter; Neal Wood	UMSL SL:6/6 CSPT, Box 2	Pocock's founding conception; relation between historical political thought and political science; early institutional remedy	full scan + folder/item reference	SECONDARY_ARCHIVAL_QUOTE_CONTROL
2	1967-11-12	Richard Ashcraft	Melvin Richter	UMSL SL:6/6 CSPT, Box 2	AHA vs APSA affinity; disciplinary alienation; coalition recruitment	full scan + folder/item reference	SECONDARY_ARCHIVAL_QUOTE_CONTROL
3	1967-11-27	Melvin Richter	Sheldon Wolin	UMSL SL:6/6 CSPT, Box 2	APSA/APSR crisis perception; urgency; publication/professional jurisdiction	full scan + folder/item reference	SECONDARY_ARCHIVAL_QUOTE_CONTROL
4	1967-11-30	Neal Wood	J. G. A. Pocock; Melvin Richter	UMSL SL:6/6 CSPT, Box 2	new institutional constellation; possible disciplinary separation; naming problem	full scan + folder/item reference	SECONDARY_ARCHIVAL_QUOTE_CONTROL
5	1967-12-07	Melvin Richter	Harvey Mansfield	UMSL SL:6/6 CSPT, Box 2	recruitment across methodological/political division; anti-behavioralist coalition	full scan + folder/item reference	SECONDARY_ARCHIVAL_QUOTE_CONTROL
6	1967-12-09	Joseph Cropsey	Melvin Richter	UMSL SL:6/6 CSPT, Box 2	Straussian response; coalition conditions; protection/promotion of subject	full scan + folder/item reference	SECONDARY_ARCHIVAL_QUOTE_CONTROL
7	1967-12-11	Harvey Mansfield	Melvin Richter	UMSL SL:6/6 CSPT, Box 2	protective institutional logic; political-theory status within political science	full scan + folder/item reference	SECONDARY_ARCHIVAL_QUOTE_CONTROL
8	1967-12-15	Neal Wood	J. G. A. Pocock; Melvin Richter	UMSL SL:6/6 CSPT, Box 2	separatist institutional programme; professional/departmental structures	full scan + folder/item reference	SECONDARY_ARCHIVAL_QUOTE_CONTROL
9	1967-12-18	J. G. A. Pocock	Melvin Richter; Neal Wood	UMSL SL:6/6 CSPT, Box 2	rejection of general disciplinary war/split; 'do our stuff'; relatedness to behavioralist work	full scan + folder/item reference	SECONDARY_ARCHIVAL_QUOTE_CONTROL
10	1967-12-18	Judith Shklar	Melvin Richter	UMSL SL:6/6 CSPT, Box 2	like-minded-network need; recruitment pressure; coalition breadth	full scan + folder/item reference	SECONDARY_ARCHIVAL_QUOTE_CONTROL
11	1967	Melvin Richter	Neal Wood; J. G. A. Pocock	UMSL SL:6/6 CSPT, Box 2	Richter's preferred institutional strategy; disciplinary separation vs brokerage	full scan + exact date + folder/item reference	SECONDARY_ARCHIVAL_QUOTE_CONTROL
12	1967	Ellen Meiksins	Report on Foundation Meeting	UMSL SL:6/6 CSPT, Box 2	founding meeting participants; decisions; dissent; institutional design	full scan + folder/item reference	SECONDARY_ARCHIVAL_QUOTE_CONTROL
13	1968	Conference for the Study of Political Thought	programmatic / manifesto document	UMSL SL:6/6 CSPT, Box 2	humanism vs behavioral science; ethics/politics jurisdiction; official early programme	full scan + exact title/date + folder/item reference	SECONDARY_ARCHIVAL_QUOTE_CONTROL
14	1967-1968	CSPT founders / officers	constitution; membership list; funding proposal; chapter plan	UMSL SL:6/6 CSPT, Box 2 or adjacent boxes	programme -> organization; membership governance; funding; chapter infrastructure	scans or item list	OPEN_ARCHIVE_TARGET
15	1967-1970	CSPT founders / officers	publication; newsletter; journal plan; correspondence	UMSL SL:6/6 CSPT, Box 2 or adjacent boxes	whether publication infrastructure was planned before Columbia chapter / Political Theory journal project	scans or item list	OPEN_ARCHIVE_TARGET
16	1967-1970	CSPT founders / officers	correspondence mentioning Skinner; Dunn; Laslett; Cambridge	UMSL SL:6/6 CSPT, Box 2 or adjacent boxes	bridge between CSPT institutional formation and Cambridge methodological discussion network	scans or item hits	OPEN_ARCHIVE_TARGET
