issue,Oldenberg_1882,MS38_004,Lovejoy_1898,assessment
usual_physical_reading,"Explicitly prints Itivuttaka and says it supports Childers: saupadisesa = saint alive with body/senses remaining; anupadisesa = after death","Notebook retains contradictory/commentarial/text-critical material rather than simply deleting physical reading","Acknowledges other passages support usual view and says question not finally settled","Contrary evidence is present in both; Lovejoy's distinctiveness is not first acknowledgment of contradiction"
system_parallel,"Finds it astonishing that saupadisesa/anupadisesa would be physical while saupadana/anupadana and upadhi/nirupadhi are ethical; refuses to rely on parallelism alone","Systematic synonymy work across upadana/upadhi/asava/samyojana and attachment","Uses relation between upadi and upadana plus Buddhist ethical logic but says usage must decide meaning","System-level pressure is inherited; Lovejoy shifts evidentiary emphasis toward usage"
anagamin_evidence,"Satipatthana passage: sati va upadisese → Anagamin; interprets as residuum of sinful nature/impurity","pp55-66 gather Anagamin/Arahat and residue evidence","Makes upadisesa a differentia of Anagamin rather than Arahat-alive; residue of attachment","Core evidence and semantic direction inherited from Oldenberg"
deceased_monk,"Vangisa/Nigrodhakappa: monk is already dead yet question asks Nirvana or saupadisesa; therefore not simply saint-alive","Notebook uses same deceased-monk logic in upadisesa section","Explicitly says passage was cited also by Oldenberg; recasts question as Arahat versus Anagamin degree of freedom","Direct acknowledged reuse plus path-stage reformulation"
poison_residue,"Sunakkhatta poisoned-wound parable; saupadisesa/anupadisesa = remnant/no remnant of deadly peril; exposition substitutes nirupadhi","Notebook engages upadhi/upadana residue and commentarial/text-critical materials; exact poison-parable reuse not yet separately isolated in clean summary","Not central in published three Sutta-Nipata examples","Oldenberg's strongest bridge to upadi=upadhi is not simply reproduced as Lovejoy's primary published proof"
upadi_upadhi_relation,"Declares upadi only a Pali spelling of upadhi, probably manuscript orthography; gives scribal-assimilation account","Notebook compares upadana/upadhi and overlapping systematic meanings; preserves derivational uncertainty","Says competing derivations are both etymologically possible; meaning should be settled by usage; scribal errors may explain discrepancies","Major divergence: Lovejoy accepts ethical semantics but does not accept Oldenberg's lexical identity with equal confidence"
upadi_upadana_relation,"Ethical residue has same signification as Upadana and Upadhi; elsewhere explicitly develops Upadana semantics","Notebook treats upadhi/asava/samyojana as overlapping with fundamental attachment idea","Offers usage evidence in favor of upadi meaning same thing as upadana, relevant but not necessarily conclusive","Lovejoy re-centers semantic relation on upadana/attachment rather than making etymology decisive"
samyojana,"Explicit note: Upadana and Samyojana are synonymous; four upadanas roughly recur in ten samyojanas","Notebook explicitly groups upadhi/asava/samyojana as related attachment expressions","Uses Oldenberg p430 synonymy to build Anagamin/Arahat hither/further shore parallel","Underlying synonymy inherited; specific shore comparison appears to be Lovejoy's presentation extension"
third_sutta_nipata_goal_passage,"Not found in full-text search of recovered 1882 translation","p66/mp173 states anupadisesa cannot mean physical death because death itself cannot be Buddhist summum bonum; ethical freedom from attachment","Prints Sutta-Nipata v86 and gives same death-not-summum-bonum argument","Strong notebook→print extension beyond recovered Oldenberg evidence; absence from OCR is qualified negative evidence only"
hither_further_shore,"No full-text hit for hither/further shore/paraparam in recovered 1882 translation","Underlying samyojana/path-stage logic present in notebook materials","Adds oraparam/paraparam comparison: Anagamin has some fetters left; Arahat none","Likely Lovejoy evidentiary extension using Oldenberg-supplied synonymy; do not claim Oldenberg never used elsewhere"
final_confidence,"After initial caution, says there is 'no scruple' in declaring upadi a spelling of upadhi and conjecturally explains Itivuttaka physical reading as later error","Working notes continue into contradictory witnesses/commentary/text criticism","Oldest/probably most numerous texts favor Oldenberg, but other passages support usual view; matter cannot be regarded as finally settled; scribal-error account only possible","Most defensible epistemic delta: Lovejoy retains ethical reading but leaves textual/etymological history more open"
overall_operation,"Semantic reconstruction + canonical counter-evidence + confident orthographic/text-history resolution","Broadens evidence, tests usage/synonymy, retains contradiction","Controlled recomposition: accepts Oldenberg semantic direction, decouples it from settled etymology, adds/repacks evidence, calibrates final uncertainty","Not priority; evidentiary recomposition and calibrated uncertainty"
