date,evidence,source_type,Lovejoy_participation_status,logic_relevance,inference_ceiling,archive_target
1895-1896,"Harvard Philosophy 1: Royce lectures on Logic + introduction to philosophical study; second half James Psychology or Santayana History of Philosophy",direct contemporary course notice,"available during Lovejoy entry year; enrollment unproved",direct logic curriculum,"course availability only; no Venn/Boolean/symbolic content or Lovejoy enrollment inferred","Harvard 1895-96 course records / Lovejoy individual course list"
1896-06-08,"Some Concluding Criticisms on the 'Total Experience'; Account of Reality / Moment of Arrest; A for course",JHU Lovejoy papers finding aid,"direct Lovejoy assessed coursework",philosophical analysis; exact logic link unknown,"proves active philosophical coursework, not formal logic","JHU MS-0038 box 66 folder 5"
1896-1897,"Minutes of Graduate Philosophical Society of Harvard; Lovejoy served as secretary",JHU Lovejoy papers finding aid,"direct institutional participation",potential high-value exposure to philosophical method/logic; topics unread,"secretaryship proves access/participation, not assent or specific logic uptake","JHU MS-0038 box 37 folder 1"
1897-02-15,"Have Kant's Characteristic Contributions to Philosophy a Permanent Value?; Phil. 20c; A",JHU Lovejoy papers finding aid,"direct Lovejoy course participation",advanced philosophy seminar; exact 20c identity pending,"do not retroject later 20c=Logic label into 1896-97","JHU MS-0038 box 66 folder 6; Harvard 1896-97 course announcement"
1896-1897,"Royce's regular seminar reportedly explored methods of psychology in temporary exchange with William James",seminar-history editorial reconstruction,"Harvard environment; Lovejoy participation in this exact seminar not independently closed",important negative control against calling 1896-97 20c a logic seminar,"mediated contextual control; requires catalogue/course identity closure","Harvard 1896-97 catalogue; Royce seminar records"
1897-1898,"Royce seminar announced on problems of logic; Harvard Catalog 1897-98 p.349 cited by later scholarship",mediated primary locator,"Lovejoy remained at Harvard; attendance unproved",direct logic-seminar environment,"availability/proximity only until catalog page and enrollment are controlled","Harvard Catalog 1897-98 p.349; Lovejoy course list"
1898-06-10,"The Ethics of Authority and the Ethics of Value; Phil. 20d",JHU Lovejoy papers finding aid,"direct Lovejoy course participation",advanced philosophical seminary but not logic,"person-level seminar training edge; not formal-logic edge","JHU MS-0038 box 66 folder 7"
1897-1898,"Philosophy 20d = Ethical Seminary, George H. Palmer",Harvard HOLLIS Maud Perry Pope notebooks,"cross-source course identity for Lovejoy's Phil.20d",ethics/philosophy seminar environment,"strong course identity; no logic causation","Harvard SC 48 comparison notebooks"
1893-1898,"Royce collected/indexed Pamphlets and Monographs on Logic; 1515 pages",Harvard HOLLIS Royce papers,"teacher/environment evidence; Lovejoy access unproved",direct contemporaneous logic corpus,"logic was live in Royce environment; contents/uptake need item-level audit","HUG 1755 Box 110"
1892_and_1895-1916,"Royce Logicalia; Logic Notes; unarranged Harvard-era logic notes",Harvard HOLLIS Royce papers,"environment evidence",logic source environment,"broad date ranges prevent leaf-level attribution to Lovejoy years","HUG 1755 Box 109 folders 6-8; Box 111"
1901-1904,"Royce logical zero, Kempe laws, Boolean logic, Schröder notes",Harvard HOLLIS Royce papers,"post-Lovejoy student-period teacher development",modern formal/algebraic logic,"must not be projected backward into 1895-98 Lovejoy training","HUG 1755 Box 101; Box 111"
1910,"Lovejoy, Treatment of Opposition in Formal Logic; Venn-based diagrams",direct Lovejoy primary,"direct actor-level formal logic uptake",formal/symbolic/class logic,"earliest currently secure named Venn/formal-logic source edge in Lovejoy corpus","published primary already controlled"
