id,date,source_type,author_or_institution,location,claim,evidence_status,limitation,url
B183-01,1819/1836,lexicographical secondary source,Online Etymology Dictionary,otherworldly entry,Otherworldliness is recorded from 1819 with Leigh Hunt first-print attribution and a near-contemporary Coleridge use later printed in 1836,secondary lexical trace,Not a substitute for direct inspection of the 1819 Examiner or Allsop 1836 texts; priority is circulation not exclusive coinage,https://www.etymonline.com/word/otherworldly
B183-02,1857,author-signed primary essay,George Eliot,Worldliness and Other-Worldliness: The Poet Young,Eliot explicitly organizes moral criticism around worldliness/other-worldliness and contrasts abstractions with particulars sympathy fellowship and present human suffering,primary text confirmed,No current evidence that Lovejoy read or cited this essay,https://en.wikisource.org/wiki/Essays_of_George_Eliot/Worldliness_and_Other-Worldliness
B183-03,1889,author-signed primary essay,T H Huxley,Agnosticism,Huxley uses ascetic other-worldliness while discussing practical harms to citizen and other social roles,primary text confirmed,Demonstrates lexical/social-political currency not Lovejoy reception,https://aleph0.clarku.edu/huxley/CE5/Agn.html
B183-04,1894-05-16,contemporary newspaper,Harvard Crimson,Religous Union,Vivekananda was scheduled to address the Harvard Religious Union,confirmed announcement,Does not prove delivery or Lovejoy attendance,https://www.thecrimson.com/article/1894/5/16/religous-union-this-evening-at-8/
B183-05,1894-05-17,contemporary newspaper,Harvard Crimson,Vivekananda's Address,Crimson reports Vivekananda gave the previous-evening Religious Union address and summarizes Indian religious content,confirmed post-event report,Does not prove Lovejoy attendance,https://www.thecrimson.com/article/1894/5/17/vivekanandas-address-swami-vivekananda-the-hindoo/
B183-06,1894-10-30,contemporary newspaper,Harvard Crimson,Mr Fiske's Lecture,First open Religious Union meeting report summarizes John Fiske on Mystery of Evil Genesis Vendidad and human rise,confirmed post-event report,Shows programme ecology not direct influence on Lovejoy,https://www.thecrimson.com/article/1894/10/30/mr-fiskes-lecture-mr-john-fiske/
B183-07,1895-09-24,contemporary university-derived newspaper report,Harvard Crimson,The Religious Societies,Religious Union described interfaith exchange common search for truth character and action ethical enthusiasm and lists V R Gandhi Royce Fiske Carpenter Hale among public speakers,confirmed institutional description,Does not establish Lovejoy attendance at any listed speaker event,https://www.thecrimson.com/article/1895/9/24/the-religious-societies-there-are-now/
B183-08,1898,digital newspaper calendar corpus,Harvard Crimson,Other Worldliness calendar block,Lovejoy appears as scheduled Harvard Religious Union speaker on Other Worldliness with First Parish Church and 6:45 details,confirmed event-block wording,Digital corpus attaches nearly identical block to March 14 and April 11 contexts so exact date and actual delivery remain unresolved,https://www.thecrimson.com/article/1898/4/9/university-calendar-april-9-saturdaylectures-on/
B183-09,1898,digital newspaper calendar corpus,Harvard Crimson,March 14 University Calendar,Same Lovejoy entry and surrounding event programme appear in a second date context,confirmed duplication anomaly,Requires issue scan or organizational records to distinguish metadata error rescheduling or print duplication,https://www.thecrimson.com/article/1898/3/14/university-calendar-president-and-fellows-of/
B183-10,1886 metadata / internally discordant calendar,digital newspaper archive control,Harvard Crimson,University Calendar page,An archive page dated 1886-12-04 contains internally discordant March dates and Harvard Religious Union/Royce programme material supporting a broader calendar-metadata contamination concern,digital anomaly observed,Used only to calibrate database reliability not to establish the true date of the embedded programme,https://www.thecrimson.com/article/1886/12/4/university-calendar-appleton-chapel-730-pm/?page=2
B183-11,1895-1927,archival finding aid,Harvard University Archives,UAV 688.25,HUD3279 finding aid explicitly directs researchers to Phillips Brooks House Association records of religious societies 1895-1927 for cabinet minutes and reports,confirmed archival target,Finding aid does not enumerate HRU-specific folders in the surfaced description; targeted archive request still required,https://hollisarchives.lib.harvard.edu/catalog/hua31008
B183-12,1890-1904,archival finding aid,Harvard University Archives,HUD 3688.190.36,HUD3279 finding aid identifies Harvard Handbook published under Christian Association auspices and preserved in Phillips Brooks House Association records,confirmed archival target,Exact 1897-99 contents not yet inspected,https://hollisarchives.lib.harvard.edu/catalog/hua31008
B183-13,1897-1899,archival finding aid,Harvard University Christian Association,HUD 3279 related subseries,Annual folder correspondence scrapbook meeting records day book membership records and Gleason records provide contemporary cross-controls around Religious Union institutional ecology,confirmed archival cross-control,Christian Association records are not equivalent to Religious Union records and cannot by themselves prove HRU actions,https://hollisarchives.lib.harvard.edu/catalog/hua31008
B183-14,1898,archival finding aid,Walter P Reuther Library George Clifton Edwards Sr Papers,Box 3 Folder 8,A surviving exact-year Harvard Handbook 1898 is listed in an independent personal papers collection,confirmed backup copy location,Does not establish Edwards-Lovejoy connection and should be used as a textual backup not provenance substitute,https://reuther.wayne.edu/files/UP000238.pdf
B183-15,1902,author-signed primary book,William James,The Varieties of Religious Experience p413,James uses other-worldliness for a mystical tendency toward over-abstraction from practical life while noting strong mystics can be highly practical,primary text confirmed,Published after Lovejoy's 1898 scheduled topic; no evidence of direct borrowing in either direction,https://en.wikisource.org/wiki/Page:The_varieties_of_religious_experience,_a_study_in_human_nature.djvu/429
B183-16,2026-08-25,targeted negative search,Lovejoy corpus plus public web,George Eliot reception search,No direct Lovejoy citation reading note or correspondence link to Eliot's Worldliness and Other-Worldliness was located in the current targeted sweep,negative control,Search incompleteness is not evidence of non-reading; archival notebooks and correspondence remain decisive,
