id,year,document_layer,section,course_or_actor,documented_fact,evidence_status,source,implication
P129-01,1896-1897,programme,V,"Marillier / Religions des peuples non civilisés","Planned topics: North American marriage rites; flood myths across Asia/Africa/Europe.",primary,https://www.persee.fr/doc/ephe_0000-0002_1895_num_9_5_19449,"Shows prospectus/programme layer should be separated from retrospective annual report and from actual participant records."
P129-02,1896-1897,annual_report,V,"Marillier / Religions des peuples non civilisés","Actual report describes North American family/marriage plus flood myths and comparative inference.",primary,https://www.persee.fr/doc/ephe_0000-0002_1896_num_10_6_19455,"Annual report is a retrospective content witness, not merely a schedule."
P129-03,1896-1897,annual_report,V,"Finot substituting Foucher / Religions de l'Inde","Finot taught Vedānta exegesis; Mauss is named as an élève titulaire; Lacôte as active auditor.",primary,https://www.persee.fr/doc/ephe_0000-0002_1896_num_10_6_19458,"Directly fixes Mauss inside the Indian-religions seminar ecology immediately before his remembered Pāli/Buddhist-translation training."
P129-04,1896-1897,annual_report,V,"Israël Lévi / Judaïsme talmudique et rabbinique","Second semester studied the fate of the soul after death and emphasized variety of beliefs; Mauss is named among élèves titulaires.",primary,https://www.persee.fr/doc/ephe_0000-0002_1896_num_10_6_19462,"A named Mauss control shows afterlife comparison and Indianist training coexisted in one student's EPHE formation before Lovejoy's Marillier year."
P129-05,1897-1898,programme,V,"Marillier / Religions des peuples non civilisés","Planned human sacrifice and ritual anthropophagy on Wednesdays 9:30; American marriage on Fridays 9:30.",primary,https://www.persee.fr/doc/ephe_0000-0002_1896_num_10_6_20489,"The sacrifice/anthropophagy line begins at least one academic year before Lovejoy's documented participation."
P129-06,1897-1898,annual_report,V,"Marillier / Religions des peuples non civilisés","Actual Wednesday conference studied ritual anthropophagy and human sacrifice, including funerary, expiatory, anthropophagic and magical sacrifices in West/African regions.",primary,https://www.persee.fr/doc/ephe_0000-0002_1897_num_11_7_19478,"Confirms the sacrifice line was executed, not merely advertised."
P129-07,1898-1899,programme,V,"Marillier / Religions des peuples non civilisés","Planned: beliefs concerning survival of the soul, Wednesdays 5; ritual anthropophagy and human sacrifice, Fridays 9:30.",primary,https://www.persee.fr/doc/ephe_0000-0002_1897_num_11_7_19495,"These are exactly the two dominant thematic blocks in Lovejoy notebook 005."
P129-08,1898-1899,annual_report,V,"Marillier / Religions des peuples non civilisés","Retrospective report: survivance/eschatology conference plus continued human-sacrifice/ritual-anthropophagy research; Lovejoy explicitly named among auditors who took an active part in the work.",primary,https://www.persee.fr/doc/ephe_0000-0002_1898_num_12_8_19501,"Strongest primary institutional bridge from 005's themes to Lovejoy's active Paris participation."
P129-09,1898-1899,schedule_discrepancy,V,"Marillier / programme vs annual report","Programme advertises Wednesday/Friday; annual report labels the two conferences Monday/Tuesday. Exact reason not yet established.",primary_primary_discrepancy,"https://www.persee.fr/doc/ephe_0000-0002_1897_num_11_7_19495 ; https://www.persee.fr/doc/ephe_0000-0002_1898_num_12_8_19501","Do not reconstruct Lovejoy's weekly timetable from the advance programme alone; actual scheduling may have changed."
P129-10,1897-1898,regulation,V,"Section des sciences religieuses","Rules state candidates/auditors chose conferences; those admitted had to register on the register before each lesson; prolonged absence had to be justified; school year ran 1 Nov-15 Jul.",primary,https://www.persee.fr/doc/ephe_0000-0002_1897_num_11_7_20490,"A lesson-level attendance/sign-in documentary layer existed in principle. If preserved/digitized, it could tighten Lovejoy's arrival and attendance chronology beyond annual-report status. Do not assume current AN 'registres d'inscription' are automatically this same register."
P129-11,1898-1899,programme,IV,"EPHE historical-philological section","Programme states conferences for 1898-99 begin 3 November at the Nouvelle-Sorbonne, 46 rue Saint-Jacques.",primary,https://www.persee.fr/doc/ephe_0000-0001_1899_num_1_1_2222,"Gives a hard institutional opening-date control for IVe Section teaching; not automatically the first date Lovejoy personally attended."
P129-12,1898-1899,annual_report,IV,"Sylvain Lévi / Langue sanscrite","After mission interruption in 1897-98, next report documents Bhagavad-Gītā and continuous Indian-literature teaching; Stickney actively participated.",primary,https://www.persee.fr/doc/ephe_0000-0001_1900_num_1_1_2251,"Confirms actual instruction layer differs from generic chair title and supports the no-formal-Pāli-course result."
P129-13,1895-1897,retrospective_personalized_instruction,IV/V network,"Sylvain Lévi / Louis Finot / Marcel Mauss","Mauss later recalled first-stage Sanskrit discipline, then Pāli and Buddhist translation with Lévi and Finot; he also said Lévi's 1896-97 Brāhmaṇa course was personally directed to him.",retrospective_primary_testimony_via_scholarly_reprint,https://books.openedition.org/editionscnrs/4894,"Shows formal programme and individualized instruction are not equivalent documentary layers; important control for Wilson's report of Lovejoy's private readings with Lévi."
P129-14,1918-1919,later_modality_control,IV,"Sylvain Lévi / Langue sanscrite","Much later EPHE report explicitly records Lévi convening former auditors at his home when fixed-hour conferences were disrupted.",primary_later_control,https://www.persee.fr/doc/ephe_0000-0001_1919_num_1_1_2815,"Demonstrates home-based scholarly instruction was a documented practice in Lévi's teaching repertoire, but does not prove the same modality in 1898 without Lovejoy's letters."
