source_file,source_batch,source_row,source_field_count,coverage_id,country,repository_or_portal,query_mode,query_terms,primary_hits,new_components_added,unresolved_leads,negative_result_scope,next_action,checked_at,source_url
archive_index/lovejoy_global_archive_repository_coverage_batch90_delta.csv,90,2,12,COV0018,US,University of Pennsylvania University Archives and Records Center,official_finding_aid_exact_title_search,Loren Corey Eiseley Papers; Lovejoy Arthur O.; Great Chain of Being,Eiseley archival book inventory places Lovejoy's Great Chain of Being in Box 73,1,edition/copy-specific metadata; annotations; acquisition/use history,"Inventory presence proves archival survival of a copy but not reading, annotation, or influence","inspect Box 73 copy for edition, provenance, inscriptions, marginalia and adjacent shelving/order evidence",2026-08-18,https://findingaids.library.upenn.edu/records/UPENN_ARCHIVES_PU-AR.UPT50E36
archive_index/lovejoy_global_archive_repository_coverage_batch90_delta.csv,90,3,12,COV0019,US,Johns Hopkins University Ferdinand Hamburger Jr. Archives + BRACERS,specialized_correspondence_catalogue_reverse_locator,Arthur O. Lovejoy; Bertrand Russell; technical philosophy; ultra-pacifist; BRACERS 121122,specific Lovejoy letter about proposed Russell lecture; BRACERS identifies Hamburger Archives as source,1,"exact date, recipient, current Hamburger collection ID and box/folder/item","BRACERS is a specialized Russell correspondence catalogue and identifies primary custody, but the current JHU container has not been independently recovered",use BRACERS record 121122 and adjacent 121121 Woods-Goodnow record to identify the Hamburger series and exact JHU locator,2026-08-18,https://bracers.mcmaster.ca/bracers-notes?page=1211
archive_index/lovejoy_global_archive_repository_coverage_batch90_delta.csv,90,4,12,COV0020,US,Hoover Institution Library & Archives / OAC,secondary_exact_item_plus_primary_collection_search,Sidney Hook to Arthur Lovejoy 3 Nov 1949 Box 121 Folder 4; Hook Papers 90003,published archival scholarship gives exact Hook-to-Lovejoy item locator; official Hoover collection guide confirms Sidney Hook Papers,0,primary child page/image and exact item verification,The public OAC guide does not name-index Lovejoy in this pass; exact citation is secondary until original inspection,request Box 121 Folder 4; verify letter date/direction/content and map adjacent American Philosophical Association lobbying documents,2026-08-18,https://oac.cdlib.org/
archive_index/lovejoy_global_archive_repository_coverage_batch90_delta.csv,90,5,12,COV0021,US,New York University Tamiment Library and Robert F. Wagner Labor Archives,official_finding_aid_plus_secondary_exact_item,TAM.023; Lovejoy; Academic Freedom Statement; Correspondence L; Sidney Hook; press releases,official Box 8 Folder 1 Academic Freedom Statement 1953; Box 4 Folder 4 Correspondence L 1953-54; Box 3 Folder 15 Sidney Hook 1952-56; Box 12 Folder 8 Press Releases 1951-54; scholarship identifies Lovejoy-endorsed 13 Jul 1953 item in B8F1,0,primary inspection of Lovejoy-endorsed item and any direct Lovejoy letters/duplicates,Official finding aid does not name Lovejoy; folder-level primary confirmation and secondary item-level identification remain separate,"inspect B8F1 first, then B4F4, B12F8 and B3F15; create document-event/manifestation cluster if duplicate release copies are recovered",2026-08-18,https://findingaids.library.nyu.edu/tamwag/tam_023/all/
archive_index/lovejoy_global_archive_repository_coverage_batch90_delta.csv,90,6,12,COV0022,US,Library of Congress Manuscript Division,Owen_Lattimore_reciprocal_fonds_name_search,Arthur O. Lovejoy in Owen Lattimore Papers MSS80712,official Lattimore collection confirmed; no indexed Lovejoy string surfaced,0,possible unindexed reciprocal correspondence or Lovejoy references,"No indexed name hit is not evidence of absence in a 22,175-item collection with selective name indexing",search relevant chronological/alphabetical correspondence series and correlate with JHU Lattimore item 77/11/10 once its date/content is inspected,2026-08-18,https://findingaids.loc.gov/
archive_index/lovejoy_global_archive_repository_coverage_batch103_delta.csv,103,2,12,COV0023,US,Harvard University Archives HOLLIS,official_collection_plus_chronological_correspondence_search,Allyn Abbott Young; HUG 1891.xx; correspondence 1913-1921; Lovejoy,official Papers of Allyn Abbott Young and exact HUG 1891.5 Box2 correspondence container covering 1917,0,GAL0039; Lovejoy/Tyler item presence and internal folder order,No Lovejoy name-index hit in the current public finding aid is not evidence of absence inside a one-box 1913-1921 correspondence aggregate,"inspect HUG1891.5 Box2 for Lovejoy, Tyler, Hobbs and Ely in Jun-Nov 1917 and collate with JHU Box24",2026-08-18,https://hollisarchives.lib.harvard.edu/
archive_index/lovejoy_global_archive_repository_coverage_batch103_delta.csv,103,3,12,COV0024,US,University of Kansas Kenneth Spencer Research Library,official_collection_and_inventory_search,Frank Hodder; PP71; Lovejoy; Young; AAUP,official Personal papers of Frank Hodder PP71 and seven-box/oversize inventory exposed,0,GAL0040; 1918 and 1920 Lovejoy/Young correspondence presence,Current public finding-aid/name search did not expose Lovejoy; broad topical and wrapper-level inventory prevents treating this as absence,inspect/search PP71 correspondence for 29 Jan 1918 and 25 Feb 1920; search both Lovejoy and Allyn A. Young,2026-08-18,https://archives.lib.ku.edu/repositories/3/resources/5507
archive_index/lovejoy_global_archive_repository_coverage_batch103_delta.csv,103,4,12,COV0025,US,University of Michigan Library Digital Collections,official_regents_proceedings_context_search,Carl Eggert letters January 1918,January 1918 Regents proceedings state that the President filed several letters from C. A. Eggert and took no action,0,whether any institutional Eggert letter is related to the JHU Eggert-to-Lovejoy object,"This is parallel institutional context only; it does not identify, date or duplicate the Lovejoy-directed Box24 document",use Regents chronology as contextual control while resolving Cain's 1917/1918 citation conflict from the JHU manuscript itself,2026-08-18,https://quod.lib.umich.edu/u/umregproc/ACW7513.1917.001?rgn=main%3Bview%3Dfulltext
archive_index/lovejoy_global_archive_repository_coverage_batch105_delta.csv,105,2,12,COV0026,US,Smithsonian Institution Archives,official_finding_aid_name_and_container_search,Arthur O. Lovejoy; Science Service; Record Unit 7091; 1927; 1928; 1929; 1930-1940,four exact folder-level Lovejoy name presences: B87/F2 1927; B97/F1 1928; B105/F1 1929; B219/F8 1940; plus explicit 1939 missing K-Smi correspondence range,4,"item dates, directions, item counts, specific Science Service correspondents, subjects; status of the missing 1939 K-Smi run; possible unexposed 1930-38 Lovejoy items","No surfaced Lovejoy name in 1930-38 is not evidence of absence because aggregate correspondence folders selectively name correspondents. For 1939 the expected alphabetical segment is explicitly missing, so presence/absence cannot be tested from RU7091.",request the four exact folders; search annual L-runs 1930-38 without treating finding-aid silence as absence; trace 1939 missing-range accession history,2026-08-19,https://siarchives.si.edu/collections/siris_arc_217249
archive_index/lovejoy_global_archive_repository_coverage_batch107_delta.csv,107,2,12,COV0027,US,Smithsonian Institution Archives,official_finding_aid_related_accession_search,Science Service Accession 90-105; Arthur O. Lovejoy; portrait; biographical morgue,Box13 Portraits Loo-Loz explicitly includes Arthur O. Lovejoy,1,exact physical Lovejoy object count; dates; photographer/source; captions; publication/use history; possible digitized image-level record,Folder-level name presence proves preserved Lovejoy-subject material but does not prove a single photograph or identify its form beyond the portrait-folder context.,inspect Box13 Portraits Loo-Loz and search SIA image catalog/local numbers for Lovejoy,2026-08-19,https://siarchives.si.edu/collections/siris_arc_254447
