recipient_or_text,date,work,direct_Lovejoy_reference,status,received_component,evidence_architecture_preserved,warrant_treatment,transformation,notes
"James H. Leuba","1912","A Psychological Study of Religion","yes: names Lovejoy and Monist XVI 357-382","DIRECT PRIMARY","impersonal power; primitive energetics causal thesis; evidence survey","ACTIVE REPROOF for proof burden; LOW for Lovejoy's citation-level source-function granularity","re-audits Lovejoy's claim of quite regular/intelligible laws; accepts power but finds no definite stable quantitative relation between ritual means and effects; then changes evidence channel to child psychology for genetic/origin proposition","quasi-mechanical power -> magical force; ethnographic evidence for existence -> developmental-psychology warrant for genesis","Batch83 upgrades Leuba from partial preservation to active warrant substitution/reproof"
"Irving King","1910","The Development of Religion, ch. VI The Mysterious Power","reported direct by Meylan; direct page not yet collated","SECONDARY-CONTROLLED / PRIMARY HOLD","impersonal power evidence; non-personal potency; relation to religion","PENDING","Meylan locates conclusion at p.163 that power is not in itself a religious concept","moves power category into social-psychological developmental account","Leuba 1912 treats King ch.VI and Lovejoy 1906 as alternative good evidence summaries"
"William James / H. M. Kallen published text","1911","Some Problems of Philosophy","yes in published footnote: A. O. Lovejoy, The Monist, xvi, 357","DIRECT PUBLISHED OBJECT; AUTHORIAL PROVENANCE HOLD","mana / mysterious energy / primitive sympathetic magic evidence packet","LOW / no visible Lovejoy-specific proof architecture locally","no separate re-audit; Lovejoy supports compressed textbook proposition","Lovejoy grouped with Jastrow, Jevons, Frazer, Marett","book unfinished at James's death; prefatory note says Kallen largely prepared book for press; do not assign footnote personally to James without manuscript check"
"R. R. Marett","1909","The Threshold of Religion","none found in searchable text checked","NEGATIVE SEARCH ONLY","pre-animism; mana; awe/power; response to Wundt","N/A as Lovejoy reception","responds visibly to Wundt; clarifies pre-animism as thought-emotion-behavior and indistinct->distinct rather than abstract system","no demonstrated Lovejoy uptake","absence is not proof of non-reading or deliberate omission"
"F. B. Jevons","1909","review of Marett, Folk-Lore 20","none found in checked pages","PARALLEL CONTROL / NEGATIVE SEARCH","non-personal powers and pre-animistic-stage problem","PARALLEL YES; RECEPTION NO","asks what evidence proves an actual pre-animistic stage rather than merely a conceptual possibility","proof-sufficiency debate independent of visible Lovejoy citation","use as period methodological control, not influence evidence"
"Edward Clodd","1909","Pre-Animistic Stages in Religion, Folk-Lore correspondence","none","PARALLEL CONTROL","historical-stage hypothesis","PARALLEL YES","says direct prehistoric evidence is non-producible; relies on continuity and low extant religions as working-hypothesis evidence","explicitly distinguishes hypothesis from direct historical proof","reply to Jevons; not demonstrated Lovejoy reception"
"Arthur O. Lovejoy feedback","1914","review of Leuba, International Journal of Ethics 24.2:216-220","self-reference to 1906 reported by Wilson; review object direct","DIRECT PRIMARY review event; proposition-level response SECONDARY-CONTROLLED","author re-enters downstream reception of his 1906 position","FEEDBACK LOOP established; exact correction HOLD","Wilson says Lovejoy attempts to correct Leuba's misconception of Lovejoy's 1906 point of view","reader decomposition -> authorial correction","Batch84; retrieve JSTOR 2376508 full text before specifying which Leuba proposition is corrected"
"C. G. Jung","1917 revision state","The Psychology of the Unconscious Processes / Collected Papers second-edition text","yes: main text names Lovejoy; footnote gives Monist XVI p.363","DIRECT LATER RECEPTION; REVISION-LAYER INSERTION SECURE BETWEEN ENGLISH STATES","primitive energetics as historical evidence for primordial energy-image","PROOF SYNTAX HIGH-PARTIAL; Lovejoy source-critical granularity LOW","Jung explicitly says primordial-energy-image claim requires historical proof and then uses dynamistic religions/Lovejoy as that proof-bearing evidence","primitive energetics: endpoint of ethnographic abstraction -> historical warrant in psychic/archetypal genealogy","Batch85: Lovejoy/primitive energetics/mana/primordial proof packet absent from 1916 first-English New Paths and present in substantially enlarged 1917 state; absolute German insertion date still needs 1912-vs-1917 direct collation"
"C. G. Jung","1928","On Psychical Energy / Über die Energetik der Seele","yes: multiple Lovejoy page references in original-version text; 1928 facsimile wording still to close","HIGH EDITION-CONTROLLED; 1928 FACSIMILE HOLD","efficacy/power/productivity; regularity; primitive energetics; Lovejoy as source relay","PROPOSITION-RELATIVE RE-AUDIT HIGH","accepts Lovejoy's empirical-semantic power diagnosis and regular/manipulable causal characterization but rejects treating modern comparative abstraction as a native abstract 'concept'","historical-warrant appropriation -> evidentiary unpacking -> epistemic correction","Batch86: Jung makes Lovejoy himself proposition-relative evidence; exact 1928 page image should be collated before verbatim publication quotation"
"Nathan Söderblom","1916","Das Werden des Gottesglaubens","not yet found","HOLD","dynamism / mana survey","UNKNOWN","UNKNOWN","Jung later pairs Söderblom survey with Lovejoy's primitive energetics","do not infer Söderblom read/cited Lovejoy from Jung's paired references"
