domain,pdf_pages,witness_L1,classification_L2,mechanism_L3,genealogy_development_L4,blocked_shortcut,confidence
Dakota_future_life,16-19,"usable but qualified by missionary contact/provenance","differentiated afterlife destinations admitted","moral desert vs taboo/social/manner-of-death/borrowing separated","indigenous moral-escha­tology stage held unless borrowing excluded","reward-punishment form => moral origin",high
future_life_typology,20-28,"usable comparative reports","heaven hell trial special destinations admitted","criterion of destination can remain bodily ritual social naturalistic","ethical evolution requires independent warrant","differentiated afterlife space => ethical judgment",high
sacrifice_syncretism,61-65,"ethnographic rites admitted","sacrifice comparison admitted","magic provision propitiation communion and mixed motives separated","present composite rite cannot establish one primitive sacrificial type","same rite => one original sacrifice",medium-high
funerary_killing,"66;72;76;118","reports admitted","mortuary killing/human-sacrifice comparison retained","provision message status continuity fear propitiation communion differentiated","universal communion origin blocked","killing at funeral => mystical union",high
ritual_killing,69-71,"reports admitted","sacrifice classification itself sometimes rejected","punishment medicine spirit-efficacy distinguished","victim species/rituality cannot establish cultural stage or sacrificial genealogy","ritual killing => sacrifice",medium-high
blood_body_parts,82-90,"reports admitted","same materials cross multiple ritual classes","incorporation protection transferable efficacy fetish charm distinguished","single blood-origin theory not licensed","same substance => same religious relation",high
agrarian_first_fruits,91-99,"reports admitted","sacrifice/first-fruit category revisable","purification taboo magic fecundation propitiation distinguished","layering identification borrowing and reorganization remain alternatives","offering-like form => one sacrifice history",high
agriculture_domestication,103-105,"comparative chronology admitted","agrarian-sacrifice sequence tested","quasi-mechanical/fecundative vs sacramental mechanisms separated","linear wild-to-domestic developmental chain challenged by chronology/circularity","typological order => historical order",medium-high
cannibalism,106-111,"testimony explicitly weighted","cannibalism descriptive class retained","famine revenge affection quality-transfer magic propitiation communion separated","ceremonial/religious-cannibal genealogy and universal substitution held","ceremoniality => sacrament",high
circumcision_initiation,112-117,"reports admitted","formal analogy with sacrifice can be retained","incorporation purification fortification ordeal status/group discipline differentiated","partial-human-sacrifice survival explicitly rejected","bodily injury => human-sacrifice origin",high
selected_body_parts,119,"reports admitted","selected-part comparative class admitted","transferable/sympathetic efficacy plausible","exact historical motive explicitly may remain unrecoverable","plausible mechanism => certain genealogy",high
