date	actor_venue	asian_or_nonwestern_object	epistemic_historical_role	primary_relation_problem	main_historical_address	jurisdiction_status	evidence_status	article_payoff
1898	Lovejoy / JAOS + notebook 004	Buddhist technical categories; Pali/Sanskrit materials	OBJECT_INTERNAL_RECONSTRUCTION	semantic identity; logical/classificatory inclusion; temporal antecedence; causal sequence; textual derivation	Buddhist conceptual/textual system	Asian object studied internally	DIRECT_PRIMARY_ARCHIVE + PRINT	Prehistory is not mere biography: relation types are independently warranted inside a non-Western scholarly object
1906	Lovejoy / The Monist	mana; manitou; orenda; mulungu and cross-cultural ethnographic cases	COMPARATIVE_MECHANISM_EVIDENCE -> MACRO_TYPE	nonpersonal power type; aggregation; representativeness; chronology	primitive philosophy / comparative religion	Cross-cultural cases reaggregated into population-level category	DIRECT_PRIMARY	Shows shift from object-internal reconstruction to analyst-created cross-cultural type; creates M5 warrant problem
1914	Lovejoy review of Leuba	primitive impersonal-power field	RETROSPECTIVE_TYPE_IDENTITY + CHRONOLOGY_FIREWALL	non-animistic content vs pre-animistic priority; nominal definition vs analytical phenomenal description	comparative religion	Type strong; chronology separately hedged	DIRECT_PRIMARY_IMAGE_CHECKED	Actor-level bridge: category identity and temporal priority have different evidential jurisdictions
1923	JHU History of Ideas Club constitution	formal scope: occidental literatures	INSTITUTIONAL_FIELD_BOUNDARY	cross-disciplinary migration/influence of general conceptions	Occidental literatures + philosophy/science/social-political movements	FORMALLY_OCCIDENTAL	DIRECT_FINDING_AID	Baseline institutional jurisdiction against which later non-Western inclusions can be measured
1924-1928	History of Ideas Club	primitivism across Scotland; nationalism; antiquity	RECURRENT_PROGRAM_OBJECT	one named problem across periods/disciplines	primarily European/ancient Mediterranean	Club programme consolidating problem-object	DIRECT_TOPIC_LIST	Primitivism is a sustained pre-JHI research programme, not a 1935 one-off
1933	Lovejoy / JEGP; revised 1948	China as possible source of European Romantic landscape/garden ideas	ANTECEDENT_SOURCE_GENEALOGY	influence; mediation; source alternatives; causal weight	European Romanticism	China enters as external source/antecedent in European genealogy	DIRECT_PRIMARY_TITLE + SECONDARY_VERSION_CONTROL; direct full collation desirable	Asian material changes role from internal object to causal/source node; 1948 revision foregrounds intermediary reports/missionaries
1934	P.-E. Dumont / History of Ideas Club	Ancient India	COMPARATIVE_EXTENSION_OF_PRIMITIVISM	classification of Indian materials under primitivism	Club primitivism programme	Non-Occidental case admitted into formally Occidental club practice	DIRECT_TOPIC_LIST	Direct seminar link between Club programme and Indian studies
1935	Lovejoy-Boas / Primitivism and Related Ideas in Antiquity	Ancient Western Asia + Indian literature	SUPPLEMENTARY_REGIONAL_EXTENSION	chronological vs cultural primitivism; subtype discrimination; documentary classification	chiefly Occidental history of reflection on civilization/progress	Explicitly labelled Supplementary Essays extending perspective into two under-studied regions	DIRECT_PRIMARY_PREFACE	Strong actor-level role label: inclusion and asymmetry coexist; India is neither absent nor structurally identical to Greco-Roman core
1935	Lovejoy-Boas / Prolegomena	primitivism as historian/philosopher category	ANALYST_CLASSIFICATION_OF_MIXED_HISTORICAL_PHENOMENA	chronological vs cultural questions; classification limits; relation among progress/primitivism	history of primitivism	Analyst distinguishes tendencies while conceding historical beliefs often mix them	DIRECT_PRIMARY	Mature methodological analogue to 1898 typed-relation work without causal-method claim
1935	Lovejoy-Boas / documentary project	cross-regional primitivism corpus	DOCUMENTARY_INFRASTRUCTURE	ipsissima verba; decomposition of systems; regrouping by unit-ideas	chiefly Occidental with supplementary regional extensions	ACLS-assisted cooperative project	DIRECT_PRIMARY_PREFACE	History-of-ideas method is embodied in source architecture and institutional funding, not only programmatic prose
1940	Lovejoy / JHI 1.1	primitivism explicitly listed among exemplary JHI topics	FOUNDING_PROGRAM_OBJECT	migration across disciplines/nations/languages; antecedents/consequents; interaction/effects	field-wide history of ideas	JHI removes departmental channels as primary jurisdiction	DIRECT_PRIMARY_PROGRAMMATIC	Primitivism belongs inside JHI founding programme itself
1940	ACLS / Committee chaired by Lovejoy	intellectual history as new field	TRANSINSTITUTIONAL_FIELD_INFRASTRUCTURE	coordination across disciplinary specialization	American learned-society network	Committee-to-journal incubation	OFFICIAL_ACLS_CENTENNIAL_HISTORY	Adds institutional genealogy parallel to Hopkins Club; avoids Club->JHI single-line story
1947	Lovejoy + Don C. Allen / History of Ideas Club	China in the Eyes of Europe, 1580-1780	REPRESENTATION_AND_TRANSMISSION_OBJECT	European reception/representation of China	Europe-facing intellectual history	Cross-cultural object, still organized by European observers	DIRECT_TOPIC_LIST	Shows continued conversion of China into a source/reception problem inside mature Club
1948	Lovejoy / Essays in the History of Ideas	collected cases incl. primitivism and Chinese-origin essay	RETROSPECTIVE_METHOD_REAGGREGATION	special inquiries -> common assumptions/procedures	mature history-of-ideas corpus	Methodological generalizations retrospectively extracted from casework	DIRECT_QUOTE_RECOVERED_VIA_REPRINT/SNIPPET; direct edition lock desirable	Crucial anti-teleology: Lovejoy says general conceptions grew out of rather than preceded most special inquiries
1949	JHI / Mary Wyman	Chinese Mysticism and Wordsworth	CROSS_CULTURAL_INFLUENCE	transmission/comparison	English Romanticism	Asian thought as possible intellectual source	JHI_METADATA_CONTROL	Journal practice expands cross-cultural execution beyond founding Occidental emphasis
1950	JHI / Chinese garden article	Chinese garden / European aesthetics	CROSS_CULTURAL_AESTHETIC_SOURCE	transmission; representation	European aesthetics	China as source/reference	JHI_METADATA_CONTROL	Continues 1933/1947 China-Europe genealogy lane
1951	JHI symposium Chinese Reactions to Imported Ideas	China receiving imported ideas; includes Fu I rejection of Buddhism	RECIPIENT_REACTION_FIELD	reception; rejection; syncretism; imported ideas	Chinese intellectual history	Non-Western actors/reactions become direct historical subject	DIRECT_JHI_ISSUE_METADATA	Important jurisdictional expansion: Asia not only source/comparator for Europe but recipient/refracting field in its own right
1955	JHI	Hindu philosophy of history	NONWESTERN_HISTORICAL_THOUGHT_OBJECT	philosophy/history relation	Indian intellectual history	Non-Western historical thinking as direct JHI object	JHI_METADATA_CONTROL	Late control against simple Occidental-exclusion thesis
