id,notebook_locus,relation_or_claim,witness_W,source_match_S,transmission_T,actor_delta_A,round15_verdict,next_original_image_action
004-01,004 pp4-5 MS8-9,"Garbe 1894 p150-151 source for method notes",W3,S3,T3-,A0-A1,"KEEP; explicit Garbe/page and close rendering; do not say Lovejoy personally translated every sentence","crop source heading and first/last lines; check whether any translation/source notation appears"
004-02,004 pp6-7 MS21-23,"Sabbasava extract from Rhys Davids SBE XI pp298-300",W2-W3,S2+,T2+,A0/A2prov,"DOWNGRADE physical carrier; translation lineage very strong","recover exact source heading/page notation before quotation"
004-03,004 p8 MS25,"Simsapa extract from Oldenberg-Hoey 1882 pp204-205",W2,S2++,T2+,A0,"DOWNGRADE immediate carrier from closed to leading carrier/translation lineage","test illegible source string specifically for Old./Oldenberg and 204 f.; no prompted normalization"
004-04,004 p7 MS23,"Sutta-Nipata Atthaka-vagga via Fausboll/SBE",W2,S1-S2,T2prov,A0,"KEEP PROVISIONAL; requires fresh primary collation","diplomatic quotation + source/page marks"
004-05,004 p10 MS49,"Warren p150 Visuddhimagga chariot-wheel",W3,S3,T3,A0/A2,"KEEP benchmark direct uptake","image crop showing Warren p150 f + quoted opening"
004-06,004 pp11-12 MS51-53,"Mahaparinibbana last sayings authenticity/verisimilitude ranking",W3,S0-S1,T0-T1,A2?prov,"DOWNGRADE originality; Lovejoy performs ranking but criterion may be field-owned","diplomatic first-person judgment; compare source notes in margins"
004-07,004 pp12-16 MS53ff,"Rhys Davids 1896 pp24-36 long Sankhya chronology digest",W2-W3,S3-,"T3- textual/T2+ physical",A0,"KEEP/UPGRADE textual dependence; distinguish textual archetype from physical copy","recover exact author/title abbreviation at start and any closing source marks"
004-08,004 p17,"To R.D.'s remark it should be added",W3,S3,T3,A2,"KEEP benchmark author-marked seam","full line before/after seam with punctuation"
004-09,004 p18,"practical agnosticism as question-form/presupposition problem",W2-W3,S1-S2,T2-T3,A2prov,"KEEP reweighting only; no independent-invention wording","diplomatic entire paragraph and all source abbreviations"
004-10,004 p20 MS71,"present effort programmatic statement",W3-,S0,T0,A2,"KEEP local notebook programme; no lifelong-method extrapolation","full diplomatic paragraph"
004-11,004 p22 MS75,"Lovejoy characterizes Warren tanha/upadana relation as identity and objects",W3,S3,T3,A2,"KEEP; Warren himself preserves alternative stage distinction","exact identity sentence and punctuation"
004-12,004 p29 MS89,"Childers direct check + Muller Dhammapada controversy routing",W2-W3,S3,T3,A2,"KEEP; do not narrate as two independently discovered isolated authorities","source names/page numbers and transition wording"
004-13,004 p42 MS123,"vinnana temporally antecedent to namarupa and logically subdivision",W3,S0-S1,T0-T1,A2,"ROUND16 PROPAGATED: direct image control secures the nested diagram and key sentence; corrected JSON now separates image-secure text, editorial context, and material-layout observation. Uniqueness remains unclaimed.","DONE for key sentence/layout; only upper-page bibliographic details remain a text-hygiene item"
004-14,004 p33 MS97,"Hardy p394 fact/manner causal allocation",W3 citation/W2-W3 syntax,S3,T3,A2/A3,"KEEP benchmark microgenesis; exact grammar still to verify","crop Hardy citation + entire fact/manner sentence"
004-15,004 pp47-52,"Senart compositeness/upadana source controversy",W2,S1-S2,T2-T3,A2prov,"KEEP architecture; sentence-level claims need primary/page recheck","recover every Senart/Oldenberg/source abbreviation and quote boundary"
005-01,005 pp3-6,"moral/non-moral afterlife selector",W2,S3 Marillier field,T3 environment,A0 general/A2 local,"MAJOR RECALIBRATION: general criterion is Marillier/programme-owned; Lovejoy delta narrower","diplomatic local distinctions; separate seminar wording from Lovejoy additions"
005-02,Marillier bibliography,"Survivance date 1893 vs 1894",W0,S3,T0,A0,"BIBLIOGRAPHIC NORMALIZATION: serial/report metadata and standalone imprint are same work/object family","not manuscript-dependent; choose citation object explicitly"
005-03,005 pp5-6,"M. Surviv./V. Surviv. = Marillier",W2,S2context,T2+,A0,"PROBABLE not definitive expansion","high-resolution abbreviation without consulting external title first"
005-04,005 p27 p47 p29,"29 May Monday / 6 June Tuesday / 12 June Monday session alignment",W3,S3,T3 environment,A0,"KEEP session-linked stratum; never call transcript","full headings + first paragraph below each date"
005-05,005 p11,"Rink as lower witness against moral reading",W2-W3,S3,T3,A2,"KEEP observable reallocation; adversarial witness is analyst label","exact No moral notion phrase + Rink page refs"
