source_file,source_batch,source_row,source_field_count,date_or_range,evidence_class,scope,item_or_person,source_or_repository,status,significance,next_action,source_overflow_1,source_overflow_2,source_overflow_3,source_overflow_4,source_id,date,author,title,venue_or_repository,locus,use,limitations,title_or_object,repository_or_venue
research_notes/lovejoy_orientalist_source_register_batch11_delta.csv,11,2,8,1902,primary,history_of_religion_and_strict_core,Religion and the Time-Process,American Journal of Theology 6:439-472; JSTOR stable 3153919,confirmed_primary_fulltext,Full primary text recovered. Opens as history of changing categories; makes Vedanta/Buddhism first analytic case; explains time-negation through world-cycles and Buddhist impermanence/dependent origination; explicitly cites Lovejoy's own 1898 upadana/upadisesa paper,Build 004→1898→1902 concordance; extract exact sources/terms in Indian section,,,,,,,,,,,,,,
research_notes/lovejoy_orientalist_source_register_batch11_delta.csv,11,3,8,1902,primary_method,history_of_ideas_genealogy,Anti-borrowing control in Religion and the Time-Process,"AJT 6 (1902), esp. pp446-447",confirmed_primary,Lovejoy notes affinity between Aristotle's deity and Vedanta but rejects eastern-influence inference because internal Greek dialectic accounts for the conception; similarly resists unnecessary Oriental influence on Neoplatonism,Compare with 004 Sankhya/Buddhism priority arguments and later borrowing/syncretism tests,,,,,,,,,,,,,,
research_notes/lovejoy_orientalist_source_register_batch11_delta.csv,11,4,8,1902,primary_method,history_of_ideas_genealogy,Perfectionist presupposition / logical motive,AJT 6 (1902),confirmed_primary,Tracks a recurring perfectionist presupposition across Plato Aristotle Hellenistic schools Christianity and modern idealism; decomposes Royce into two incompatible logical motives / warring categories; early operational analogue of later history-of-ideas analysis,Map vocabulary category/presupposition/logical motive/survival against later methodological writings,,,,,,,,,,,,,,
research_notes/lovejoy_orientalist_source_register_batch11_delta.csv,11,5,8,1902,primary_method,history_of_ideas_genealogy,Formulation may follow insight,"AJT 6 (1902), p468",confirmed_primary,States that coherent philosophical formulation of a new insight can be the last rather than first stage in its development; useful control for manuscript→publication chronology,Apply cautiously to 005 1898-99/1905 layers versus 1906 primitive energetics,,,,,,,,,,,,,,
research_notes/lovejoy_orientalist_source_register_batch11_delta.csv,11,6,8,1907,primary,history_of_religion,The Origins of Ethical Inwardness in Jewish Thought,American Journal of Theology 11:228-249; JSTOR stable 3153710,confirmed_primary_fulltext,Full primary text recovered. Reconstructs ethical inwardness through indirect/gradual development in Wisdom literature and explicitly distinguishes logical from chronological sequence,Build 005 Hebrew/Hist Relig (1905)→1907 concordance,,,,,,,,,,,,,,
research_notes/lovejoy_orientalist_source_register_batch11_delta.csv,11,7,8,1907,primary_network,harvard_continuity,Crawford H. Toy authority in Ethical Inwardness,"AJT 11 (1907), p230",confirmed_primary,"Lovejoy says he accepts the relative sequence Job Psalms Proverbs Ben Sira Ecclesiastes Wisdom of Solomon in deference to Professor Toy, directly linking published 1907 work to his Harvard Hebrew-religion teacher",Compare exact Toy course/material with 005 Hebrew notes and article bibliography,,,,,,,,,,,,,,
research_notes/lovejoy_orientalist_source_register_batch11_delta.csv,11,8,8,1907,primary_method,history_of_ideas_genealogy,Logical versus chronological sequence,"AJT 11 (1907), pp230-231",confirmed_primary,Lovejoy argues texts of similar date can embody different intellectual stages; earlier phases may survive beside later ones; for this inquiry logical sequence matters more than absolute date while doctrinal evidence constrains reconstruction,Compare with 004 original/derived elements and later history-of-ideas method,,,,,,,,,,,,,,
research_notes/lovejoy_orientalist_source_register_batch11_delta.csv,11,9,8,1907,primary_review_access,strict_core,Lovejoy review of Deussen Vedanta outline,JPP&SM 4.1:23-24; PhilPapers; public-domain vol.4 located via Open Library/Wikisource/Internet Archive item journalofphiloso04lancuoft,confirmed_access_route_primary_text_pending,Primary volume now located; exact review not yet extracted. Wilson summary says useful to teachers of Hindu philosophy and urges Ramanuja study over further Shankara concentration,Extract pp23-24 from IA/Hathi/Google Books and verify wording,,,,,,,,,,,,,,
research_notes/lovejoy_orientalist_source_register_batch12_delta.csv,12,2,8,1906,primary_fulltext,adjacent_comparative_religion,The Fundamental Concept of the Primitive Philosophy,The Monist 16.3:357-382; project File Library monist190616324.pdf,confirmed_primary_fulltext,Full 26-page primary article recovered and read directly; removes reliance on later summaries for the core argument,Extract complete authority/term table and ingest a stable primary copy/OCR into repo if appropriate,,,,,,,,,,,,,,
research_notes/lovejoy_orientalist_source_register_batch12_delta.csv,12,3,8,1906,primary_method,history_of_ideas_genealogy,Fundamental category behind anthropomorphism,"The Monist 16 (1906), pp357-361",confirmed_primary,Lovejoy says heterogeneous primitive practices have a recoverable logic and posits a category more fundamental than personality: impersonal quasi-mechanical causation / diffusive transferable life-energy,Compare vocabulary category/logic/system/connectedness with 1898 and 1902 works and later methodological writings,,,,,,,,,,,,,,
research_notes/lovejoy_orientalist_source_register_batch12_delta.csv,12,4,8,1906,primary_method,comparative_religion,Magic-religion boundary critique,"The Monist 16 (1906), p361",confirmed_primary,Explicitly rejects Frazer's sharp division of mechanical magic from personal religion; diffusive transferable life-energy shapes observances classified as both,Map all Frazer references and compare with 005's repeated mechanism-based critique of sacrifice/magic/communion,,,,,,,,,,,,,,
research_notes/lovejoy_orientalist_source_register_batch12_delta.csv,12,5,8,1906,primary_philological,strict_core_adjacent,North American Oceanic Bantu power vocabulary,"The Monist 16 (1906), pp362-382",confirmed_primary,"Published proof is explicitly lexical/philological: manitou oki wakonda; mana; Bantu terms often mistranslated as god/spirit, tested as power/energy/efficacy",Build term/source table and search 005 images for matching native terms and authorities,,,,,,,,,,,,,,
research_notes/lovejoy_orientalist_source_register_batch12_delta.csv,12,6,8,1898-1906,archive_publication_concordance,comparative_religion,MS38_004_001_061_005 to 1906 paper,005 corrected JSON batches + monist190616324.pdf,strong_direct_concordance_not_literal_draft,Direct matches include p64 machine/direct forces vs divine wills; pp88-90 intrinsic efficacy vs indwelling spirit; pp84-90/p119 transferable blood/body-part power; pp98-105 fecundative life-transfer; p105 quasi-mechanical vs sacramental; p117 sacramental union exceptional,Complete page/example/source concordance; date later notebook strata; locate article draft/typescript,,,,,,,,,,,,,,
research_notes/lovejoy_orientalist_source_register_batch12_delta.csv,12,7,8,1898-1906,source_ecology,comparative_religion,005 and 1906 overlapping authorities/regions,005 bibliography/notes + 1906 primary article,confirmed_partial,"Shared/adjacent evidence ecology includes Brinton, Codrington/Melanesia, Bantu/southern Africa and North-American material; exact works/examples still need page-image verification",Match every 1906 authority against 005 image-level bibliography and source notes,,,,,,,,,,,,,,
research_notes/lovejoy_orientalist_source_register_batch12_delta.csv,12,8,8,1907,primary_access,strict_core,Lovejoy Deussen Vedanta review public-domain volume,Open Library OL20431890M; IA identifier journalphilosop04orggoog; PhilPapers metadata,confirmed_access_route_primary_text_pending,Public-domain volume 4 (1907) is independently located; exact two-page Lovejoy review remains to be extracted,Retrieve pp23-24 and verify Wilson's convenience/Ramanuja wording directly,,,,,,,,,,,,,,
research_notes/lovejoy_orientalist_source_register_batch15_delta.csv,15,2,8,1885-1969,archive_primary_target,editorial_network,Open Court Publishing correspondence alphabetical sequence Box 44,"SIU Carbondale MSS 027, Series 1/Sub-Series 6 Publishing, Box 44 public ArchivEra view",confirmed_primary,"Box 44 is fully exposed from generic L through Lloyd and contains Lanman, Laufer, Leuba etc.; no dedicated Lovejoy folder appears in the visible Box 44 sequence through Lloyd. Because the sub-series is alphabetically arranged, a dedicated Lovejoy folder if present should be later than Lloyd, but the exact next container remains unconfirmed",Continue container identification beyond Box 44; do not infer Box 45 without a finding-aid record; ask SIU for all records indexed to Arthur O. Lovejoy,,,,,,,,,,,,,,
research_notes/lovejoy_orientalist_source_register_batch15_delta.csv,15,3,8,1908,primary_archive_access,history_of_religion,The Monist volume 18 public-domain scan,Wikisource volume link; Internet Archive identifier monistquart18hegeuoft; Online Books Page,confirmed_public_domain_route,"Direct IA volume object is volume 18, 694 scanned pages, NOT_IN_COPYRIGHT, with OCR/full-text and PDF derivatives; clean route to Lovejoy 1908 pp597-609 independent of Oxford paywall",Extract article pages/OCR and ingest locally/repo if permissible,,,,,,,,,,,,,,
research_notes/lovejoy_orientalist_source_register_batch15_delta.csv,15,4,8,1909,primary_archive_access,history_of_religion,The Monist volume 19 public-domain scan,Wikisource volume link; Internet Archive identifier monistquart19hegeuoft; Online Books Page,confirmed_public_domain_route,Wikisource/Online Books Page establish public archive route for vol19 containing Smith reply pp409-420,Extract reply pages/OCR and build paired debate table,,,,,,,,,,,,,,
research_notes/lovejoy_orientalist_source_register_batch15_delta.csv,15,5,8,1908-10-01,primary,history_of_religion,Lovejoy The Theory of a Pre-Christian Cult of Jesus,The Monist 18.4 pp597-609; Oxford Academic metadata; IA vol18 route,confirmed_metadata_primary_text_pending_extraction,Essay-review of W. Benjamin Smith is a high-value test of Lovejoy's evidentiary standards for syncretism/genealogy; Wilson synopsis remains secondary until article pages are extracted,Close-read primary article and compare anti-borrowing/genealogy reasoning with 004/1898 and 1902,,,,,,,,,,,,,,
research_notes/lovejoy_orientalist_source_register_batch15_delta.csv,15,6,8,1909-07-01,reception_primary,history_of_religion,William Benjamin Smith Professor Lovejoy on Der Vorchristliche Jesus,The Monist 19.3 pp409-420; Oxford Academic metadata; IA vol19 route,confirmed_metadata_primary_text_pending_extraction,Direct reply permits proposition-level reconstruction of dispute rather than relying on later summaries,Extract and pair each Smith response with Lovejoy's 1908 objection,,,,,,,,,,,,,,
