event_year,witness_year,actor_or_institution,document_or_event,locus,documented_finding,political_or_methodological_relevance,relation_to_lovejoy,evidence_status,inference_limit,source_url
1869,1898,"EPHE; Abel Bergaigne; Sylvain Lévi","Retrospective account of Sanskrit instruction","Finot and Foucher 1898 p.488","The 1869 Sanskrit teaching arrangement is called organisation primitive","Primitive means original institutional organization rather than an evolutionary classification","Lévi belongs to Lovejoy's documented Paris milieu","contemporary-to-1898 retrospective publication","Does not prove Lovejoy read the article or attended Lévi's named courses",https://education.persee.fr/doc/revin_1775-6014_1898_num_35_1_3636
1871,1871,"Bankim Chandra Chattopadhyay","Buddhism and the Sankhya Philosophy","Calcutta Review 53 no.106 pp.191–203","Separates resemblance from identity and from the direction of historical borrowing","South Asian participation in defining evidentiary rules","shared problem field only","period publication; modern transcription requires image collation","No Lovejoy reading or direct intellectual transmission established",https://en.wikisource.org/wiki/Buddhism_and_the_Sankhya_Philosophy
1879,1879,"Crawford Howell Toy; Southern Baptist Theological Seminary","Toy resignation letter and committee report","Boyce Digital Repository manuscript dated May 1879","Toy resigned over conflict concerning historical criticism of scripture","Confessional discipline and the institutional cost of critical textual method","Toy was Lovejoy's documented Harvard teacher","primary manuscript identified; finding-aid description inspected","Letter images and report have not been transcribed or independently read",https://repository.sbts.edu/handle/10392/4983
1863,2026,"Crawford Howell Toy; Confederate army","Harvard Divinity School biographical exhibit","Description citing an 1863 letter and the 53rd Georgia Regiment","Toy served as a Confederate chaplain before his Harvard career","Academic freedom and biblical criticism did not entail a simple egalitarian political identity","Toy was Lovejoy's documented teacher","institutional retrospective quoting an earlier letter","Specific views on slavery or Lovejoy's awareness are not established",https://library.hds.harvard.edu/exhibits/hds-20th-century/toy
1880,2026,"Harvard University; Crawford Howell Toy","Harvard appointment","Harvard Divinity School exhibit","Toy became Hancock Professor of Hebrew and Other Oriental Languages in September 1880","University protection for critical scholarship after confessional exclusion","documented Harvard teacher","institutional retrospective","Does not prove that Lovejoy discussed the 1879 controversy with Toy",https://library.hds.harvard.edu/exhibits/hds-20th-century/toy
1882,1883,"Friedrich Max Müller; University of Cambridge","India: What Can It Teach Us?","Opening of first lecture","Lectures were specifically intended for candidates for the Indian Civil Service","Orientalist scholarship was explicitly incorporated into colonial civil-service education","wider comparative-philological context","primary text in 1883 American edition","Does not establish Lovejoy read this book",https://www.gutenberg.org/files/20847/20847-h/20847-h.htm
1882,1883,"Friedrich Max Müller","India: What Can It Teach Us?","Dedication to E. B. Cowell","Sets the material conquest of India beside the prospect of its intellectual conquest","Philological respect and imperial competition coexist in the author's explicit vocabulary","wider comparative-philological context","primary text in 1883 American edition","Distinguish Müller’s text from American editorial commentary",https://www.gutenberg.org/files/20847/20847-h/20847-h.htm
1882,1883,"Friedrich Max Müller; Government of India","India: What Can It Teach Us?","Lecture III around printed p.103","Government surveys employed European and Indian scholars to catalogue Sanskrit manuscripts","State-funded manuscript collection and the selection of elite textual representatives","wider documentary infrastructure","primary text in 1883 American edition","Does not show equal authority or identify particular survey collectors",https://www.gutenberg.org/files/20847/20847-h/20847-h.htm
1883,1883,"Rajendralal Mitra","The Yoga Aphorisms of Patañjali","Preface","Distinguishes pre-existing materials from a completed system and rejects unsupported genealogical inference","South Asian scholars articulate evidentiary standards rather than merely supplying materials","shared transregional problem field","period publication located in previous Batch161","No evidence Lovejoy read Mitra's work",research_notes/lovejoy_as_orientalist_web_sweep_batch161_Bankim_Mitra_transregional_proof_problem.md
1888,1888,"Léon Marillier; EPHE","Comparative-religion course report","EPHE 1888–1889 annual report","Distinguishes travellers' reports; missionary reports; myths; customs; and official inquiries","Source criticism is already institutionalized inside an evolutionary comparative field","Lovejoy later directly attended Marillier's seminar","primary institutional report","Does not prove Lovejoy attended this earlier course",https://www.persee.fr/doc/ephe_0000-0002_1888_num_4_1_19334
